,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis\davisan02,31:35,6,15,.400,0,0,,6,8,.750,0,5,5,0,0,3,1,1,18,-17
Solomon Hill\hillso01,26:51,2,7,.286,1,3,.333,0,0,,1,3,4,0,2,0,1,4,5,-8
Tim Frazier\fraziti01,25:10,2,8,.250,1,2,.500,0,0,,0,4,4,7,0,0,2,3,5,-13
E'Twaun Moore\mooreet01,24:49,8,13,.615,0,2,.000,2,3,.667,0,0,0,0,1,1,0,0,18,-14
Omer Asik\asikom01,15:01,0,0,,0,0,,0,0,,1,6,7,1,0,0,0,1,0,-10
Langston Galloway\gallola01,22:54,3,10,.300,0,4,.000,0,0,,0,4,4,2,0,0,0,1,6,-9
Dante Cunningham\cunnida01,22:46,3,5,.600,2,3,.667,1,2,.500,2,3,5,0,0,0,1,3,9,-4
Lance Stephenson\stephla01,18:16,1,4,.250,0,2,.000,0,0,,0,0,0,4,0,0,0,3,2,-6
Buddy Hield\hieldbu01,17:39,3,10,.300,0,3,.000,2,2,1.000,1,4,5,0,2,0,1,1,8,+1
Alexis Ajinca\ajincal01,15:13,2,5,.400,0,0,,0,0,,1,5,6,0,0,0,2,2,4,-9
Terrence Jones\joneste01,14:03,2,7,.286,0,3,.000,0,0,,0,4,4,0,1,0,1,0,4,-10
Cheick Diallo\diallch01,5:43,0,2,.000,0,0,,0,0,,1,0,1,0,0,1,0,0,0,+4
Jrue Holiday\holidjr01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,32,86,.372,4,22,.182,11,15,.733,7,38,45,14,6,5,9,19,79,
