,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Evan Fournier\fournev01,37:43,.652,.625,.375,.125,0.0,5.1,2.8,28.8,0.0,0.0,15.1,21.9,123,117
Elfrid Payton\paytoel01,34:17,.421,.455,.182,.182,0.0,11.2,6.2,22.6,0.0,2.7,0.0,14.4,109,113
Serge Ibaka\ibakase01,30:43,.630,.583,.000,.583,11.7,12.5,12.2,5.8,1.6,0.0,6.2,21.8,132,110
Aaron Gordon\gordoaa01,25:34,.508,.500,.429,.286,0.0,11.3,6.3,11.6,5.8,3.7,20.2,16.1,92,99
Nikola Vucevic\vucevni01,24:41,.619,.625,.000,.250,9.7,27.2,19.4,6.9,0.0,0.0,31.1,21.7,89,108
Jeff Green\greenje02,27:59,.430,.333,.667,.667,4.3,30.9,19.1,9.9,1.8,3.4,20.5,21.8,85,101
D.J. Augustin\augusdj01,20:56,.523,.500,.500,.083,0.0,9.2,5.1,25.9,2.4,0.0,7.4,26.7,114,110
Bismack Biyombo\biyombi01,19:04,.315,.333,.000,1.333,44.1,10.1,25.2,0.0,0.0,4.9,38.7,16.9,74,112
Mario Hezonja\hezonma01,10:20,.375,.375,.750,.000,0.0,37.2,20.6,0.0,0.0,9.1,42.9,28.2,43,99
C.J. Wilcox\wilcocj01,8:44,.000,.000,1.000,.000,0.0,0.0,0.0,14.5,0.0,0.0,0.0,9.5,34,120
Arinze Onuaku\onuakar01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Damjan Rudez\rudezda01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
C.J. Watson\watsocj01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.519,.500,.333,.310,32.5,74.0,55.6,55.3,6.2,9.8,17.3,100.0,102.6,108.8
