,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Danilo Gallinari\gallida01,41:33,.417,.250,.313,.625,2.3,10.2,6.0,7.8,0.0,0.0,8.9,21.3,92,107
Will Barton\bartowi01,40:57,.484,.308,.154,.615,2.3,12.9,7.3,11.8,0.0,2.0,5.7,16.9,111,104
Emmanuel Mudiay\mudiaem01,38:19,.464,.400,.200,.300,0.0,19.4,9.1,19.5,3.6,0.0,18.1,28.5,86,97
Nikola Jokic\jokicni01,34:06,.539,.525,.250,.150,16.7,34.2,24.9,13.8,5.4,2.4,4.5,25.9,119,89
Jusuf Nurkic\nurkiju01,22:32,.515,.444,.000,.667,16.8,23.5,20.0,8.2,0.0,3.6,14.7,23.9,105,101
Kenneth Faried\farieke01,30:23,.608,.500,.000,1.000,9.3,20.9,14.8,10.1,3.0,5.3,25.8,10.1,111,93
Wilson Chandler\chandwi01,30:16,.463,.500,.273,.182,3.1,21.0,11.6,6.0,0.0,0.0,20.2,19.4,78,105
Jameer Nelson\nelsoja01,15:06,.600,.600,.800,.000,0.0,0.0,0.0,22.7,0.0,0.0,16.7,15.7,111,107
Jamal Murray\murraja01,11:48,.000,.000,.000,.000,0.0,9.0,4.2,23.6,3.9,0.0,0.0,6.7,47,98
Mike Miller\millemi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malik Beasley\beaslma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarnell Stokes\stokeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Juan Hernangomez\hernaju01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.482,.410,.230,.390,28.6,90.0,57.5,50.0,8.7,7.6,12.7,100.0,98.5,100.3
