,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Danilo Gallinari\gallida01,41:33,4,16,.250,0,5,.000,9,10,.900,1,4,5,2,0,0,2,0,17,0
Will Barton\bartowi01,40:57,4,13,.308,0,2,.000,8,8,1.000,1,5,6,3,0,1,1,3,16,+1
Emmanuel Mudiay\mudiaem01,38:19,7,20,.350,2,4,.500,5,6,.833,0,7,7,4,3,0,5,3,21,+3
Nikola Jokic\jokicni01,34:06,10,20,.500,1,5,.200,2,3,.667,6,11,17,2,4,1,1,5,23,-1
Jusuf Nurkic\nurkiju01,22:32,4,9,.444,0,0,,4,6,.667,4,5,9,1,0,1,2,2,12,+3
Kenneth Faried\farieke01,30:23,2,4,.500,0,0,,3,4,.750,3,6,9,2,2,2,2,3,7,-5
Wilson Chandler\chandwi01,30:16,5,11,.455,1,3,.333,0,2,.000,1,6,7,1,0,0,3,1,11,-1
Jameer Nelson\nelsoja01,15:06,2,5,.400,2,4,.500,0,0,,0,0,0,2,0,0,1,3,6,-5
Jamal Murray\murraja01,11:48,0,2,.000,0,0,,0,0,,0,1,1,2,1,0,0,1,0,-5
Jarnell Stokes\stokeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malik Beasley\beaslma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mike Miller\millemi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Juan Hernangomez\hernaju01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,38,100,.380,6,23,.261,31,39,.795,16,45,61,19,10,5,17,21,113,
