,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Damian Lillard\lillada01,41:22,.613,.571,.286,.179,2.6,9.2,6.0,34.8,2.2,1.7,14.2,36.9,109,101
C.J. McCollum\mccolcj01,41:17,.471,.458,.208,.042,7.7,16.0,12.1,12.0,3.4,5.0,7.6,27.8,94,93
Mason Plumlee\plumlma01,32:23,.611,.625,.000,.750,0.0,5.8,3.1,22.2,1.4,0.0,15.8,16.9,113,105
Maurice Harkless\harklma01,32:12,.509,.500,.500,.333,0.0,8.8,4.7,0.0,0.0,0.0,12.7,10.6,85,106
Al-Farouq Aminu\aminual01,31:47,.322,.250,1.000,.667,3.3,32.8,18.9,3.8,2.9,6.5,11.4,11.9,70,86
Allen Crabbe\crabbal01,28:53,.530,.450,.400,.300,0.0,9.8,5.2,19.5,1.6,0.0,8.1,18.5,108,103
Evan Turner\turneev01,25:12,.611,.611,.222,.000,0.0,11.3,6.0,12.2,0.0,0.0,18.2,18.9,99,106
Ed Davis\davised01,13:16,1.000,1.000,.000,.000,0.0,14.3,7.5,10.8,3.5,0.0,33.3,9.8,127,96
Meyers Leonard\leoname01,11:11,.300,.300,.800,.000,0.0,8.5,4.5,0.0,0.0,6.2,0.0,19.4,59,103
Noah Vonleh\vonleno01,7:24,,,,,0.0,51.2,27.0,0.0,0.0,0.0,,0.0,0,89
Shabazz Napier\napiesh01,0:03,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110
Pat Connaughton\connapa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jake Layman\laymaja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.536,.510,.327,.214,10.0,71.4,42.5,51.1,8.7,10.4,12.3,100.0,100.3,98.5
