,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard\lillada01,41:22,15,28,.536,2,8,.250,5,5,1.000,1,4,5,7,2,1,5,2,37,+2
C.J. McCollum\mccolcj01,41:17,10,24,.417,2,5,.400,1,1,1.000,3,7,10,3,3,3,2,4,23,-2
Mason Plumlee\plumlma01,32:23,5,8,.625,0,0,,3,6,.500,0,2,2,5,1,0,2,5,13,-6
Maurice Harkless\harklma01,32:12,2,6,.333,2,3,.667,1,2,.500,0,3,3,0,0,0,1,6,7,+8
Al-Farouq Aminu\aminual01,31:47,1,6,.167,1,6,.167,2,4,.500,1,11,12,1,2,3,1,4,5,-3
Allen Crabbe\crabbal01,28:53,4,10,.400,1,4,.250,3,3,1.000,0,3,3,4,1,0,1,3,12,+18
Evan Turner\turneev01,25:12,5,9,.556,1,2,.500,0,0,,0,3,3,2,0,0,2,1,11,-10
Ed Davis\davised01,13:16,2,2,1.000,0,0,,0,0,,0,2,2,1,1,0,1,4,4,-3
Meyers Leonard\leoname01,11:11,1,5,.200,1,4,.250,0,0,,0,1,1,0,0,1,0,1,3,+6
Noah Vonleh\vonleno01,7:24,0,0,,0,0,,0,0,,0,4,4,0,0,0,0,0,0,0
Shabazz Napier\napiesh01,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Pat Connaughton\connapa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jake Layman\laymaja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,45,98,.459,10,32,.313,15,21,.714,5,40,45,23,10,8,15,30,115,
