,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Wesley Matthews\matthwe02,40:46,.467,.420,.600,.160,2.3,9.1,5.2,16.5,2.6,0.0,3.6,31.5,102,102
Harrison Barnes\barneha02,38:26,.392,.273,.091,.364,0.0,16.0,6.9,0.0,0.0,0.0,0.0,15.4,89,106
Deron Williams\willide01,31:23,.505,.500,.455,.182,0.0,3.9,1.7,17.7,1.7,3.1,14.4,20.5,95,104
Andrew Bogut\bogutan01,27:57,.381,.429,.000,.286,16.8,44.0,28.6,19.2,0.0,0.0,20.2,16.3,92,98
Seth Curry\curryse01,23:48,.000,.000,.500,.000,0.0,15.5,6.7,12.6,0.0,0.0,33.3,11.7,18,107
J.J. Barea\bareajo01,31:23,.688,.550,.400,.700,3.0,7.8,5.1,29.5,3.3,0.0,7.1,20.7,147,101
Justin Anderson\anderju01,17:20,.474,.438,.250,.125,5.4,14.2,9.2,0.0,6.1,0.0,0.0,22.5,106,93
Salah Mejri\mejrisa01,16:44,1.000,1.000,.000,.000,28.1,14.7,22.3,0.0,0.0,11.5,25.0,11.1,160,98
Dwight Powell\poweldw01,12:13,.500,.500,.286,.000,0.0,20.1,8.7,19.4,4.3,0.0,0.0,26.5,108,96
Dirk Nowitzki\nowitdi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dorian Finney-Smith\finnedo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nicolas Brussino\brussni01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Quincy Acy\acyqu01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.485,.436,.360,.233,25.5,76.9,47.8,53.1,8.7,6.0,8.7,100.0,100.5,101.6
