,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Wesley Matthews\matthwe02,40:46,9,25,.360,3,15,.200,4,4,1.000,1,3,4,3,2,0,1,6,25,+4
Harrison Barnes\barneha02,38:26,3,11,.273,0,1,.000,4,4,1.000,0,5,5,0,0,0,0,2,10,+3
Deron Williams\willide01,31:23,4,11,.364,3,5,.600,1,2,.500,0,1,1,3,1,1,2,1,12,+2
Andrew Bogut\bogutan01,27:57,3,7,.429,0,0,,0,2,.000,5,10,15,3,0,0,2,3,6,+12
Seth Curry\curryse01,23:48,0,4,.000,0,2,.000,0,0,,0,3,3,2,0,0,2,0,0,-1
J.J. Barea\bareajo01,31:23,4,10,.400,3,4,.750,7,7,1.000,1,2,3,5,2,0,1,0,18,-4
Justin Anderson\anderju01,17:20,3,8,.375,1,2,.500,1,1,1.000,1,2,3,0,2,0,0,2,8,-5
Salah Mejri\mejrisa01,16:44,3,3,1.000,0,0,,0,0,,5,2,7,0,0,2,1,3,6,-12
Dwight Powell\poweldw01,12:13,3,7,.429,1,2,.500,0,0,,0,2,2,1,1,0,0,0,7,-4
Quincy Acy\acyqu01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nicolas Brussino\brussni01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dorian Finney-Smith\finnedo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dirk Nowitzki\nowitdi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,32,86,.372,11,31,.355,17,20,.850,13,30,43,17,8,3,9,17,92,
