,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
James Harden\hardeja01,38:37,.495,.413,.391,.522,3.2,14.6,9.7,41.3,1.4,0.0,22.1,42.1,92,102
Trevor Ariza\arizatr01,33:02,.750,.750,1.000,.000,7.5,14.2,11.3,14.0,3.2,2.6,42.9,9.5,103,96
Eric Gordon\gordoer01,32:50,.415,.375,.500,.125,0.0,8.6,4.9,5.5,1.6,0.0,15.1,27.1,77,104
Ryan Anderson\anderry01,32:01,.643,.600,.200,.200,15.4,23.5,20.0,0.0,0.0,0.0,8.4,16.6,130,101
Clint Capela\capelca01,26:26,.228,.286,.000,.571,4.7,32.0,20.2,6.0,2.0,6.6,0.0,14.8,61,88
Nene Hilario\hilarne01,21:34,.854,.833,.000,.167,0.0,13.1,7.4,9.7,0.0,0.0,13.4,15.4,146,106
K.J. McDaniels\mcdankj01,16:08,.250,.250,.250,.000,7.6,5.8,6.6,9.6,0.0,5.4,0.0,11.1,80,106
Sam Dekker\dekkesa01,15:01,.900,.900,.600,.000,0.0,6.3,3.6,0.0,0.0,0.0,0.0,14.9,173,109
Corey Brewer\breweco01,14:58,.750,.750,1.000,.000,0.0,12.6,7.1,0.0,0.0,0.0,0.0,6.0,150,106
Tyler Ennis\ennisty01,9:23,.250,.250,.500,.000,0.0,0.0,0.0,17.7,0.0,0.0,20.0,23.9,53,112
Montrezl Harrell\harremo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kyle Wiltjer\wiltjky01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bobby Brown\brownbo02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.515,.488,.383,.259,23.1,74.5,52.2,47.1,5.5,7.3,15.9,100.0,101.6,100.5
