,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden\hardeja01,38:37,8,23,.348,3,9,.333,9,12,.750,1,6,7,8,1,0,8,4,28,+1
Trevor Ariza\arizatr01,33:02,2,4,.500,2,4,.500,0,0,,2,5,7,3,2,1,3,1,6,-11
Eric Gordon\gordoer01,32:50,5,16,.313,2,8,.250,2,2,1.000,0,3,3,1,1,0,3,1,14,-8
Ryan Anderson\anderry01,32:01,6,10,.600,0,2,.000,2,2,1.000,4,8,12,0,0,0,1,2,14,-8
Clint Capela\capelca01,26:26,2,7,.286,0,0,,0,4,.000,1,9,10,1,1,2,0,2,4,-8
Nene Hilario\hilarne01,21:34,5,6,.833,0,0,,1,1,1.000,0,3,3,1,0,0,1,3,11,+9
K.J. McDaniels\mcdankj01,16:08,1,4,.250,0,1,.000,0,0,,1,1,2,1,0,1,0,2,2,+6
Sam Dekker\dekkesa01,15:01,3,5,.600,3,3,1.000,0,0,,0,1,1,0,0,0,0,1,9,+12
Corey Brewer\breweco01,14:58,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,3,3,+12
Tyler Ennis\ennisty01,9:23,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,1,2,2,0
Bobby Brown\brownbo02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kyle Wiltjer\wiltjky01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Montrezl Harrell\harremo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,34,81,.420,11,31,.355,14,21,.667,9,38,47,16,5,4,17,21,93,
