,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Klay Thompson\thompkl01,40:03,.407,.333,.400,.333,0.0,15.3,7.7,8.3,0.0,1.8,10.4,20.5,78,103
Kevin Durant\duranke01,37:56,.803,.688,.250,1.000,0.0,10.8,5.4,22.7,5.0,1.9,14.8,30.4,137,93
Draymond Green\greendr01,37:47,.253,.222,.444,.222,2.8,32.4,17.8,35.2,0.0,5.7,16.8,13.4,78,95
Stephen Curry\curryst01,34:13,.729,.676,.471,.294,0.0,3.0,1.5,18.8,0.0,0.0,5.0,25.2,133,108
Zaza Pachulia\pachuza01,22:13,.396,.200,.000,.600,18.8,27.6,23.2,26.3,0.0,0.0,32.2,17.9,91,101
Andre Iguodala\iguodan01,28:04,.400,.400,.600,.000,3.7,7.3,5.5,21.7,3.4,0.0,0.0,7.6,112,100
Ian Clark\clarkia01,15:53,.300,.300,.600,.000,0.0,12.9,6.5,0.0,0.0,0.0,16.7,16.1,48,105
Shaun Livingston\livinsh01,13:36,.581,.667,.000,.333,0.0,7.5,3.8,12.6,0.0,0.0,22.5,13.9,84,107
David West\westda01,7:36,.333,.333,.167,.000,13.7,26.9,20.4,0.0,0.0,0.0,0.0,33.7,75,101
Kevon Looney\looneke01,2:40,.410,.500,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,29.1,55.0,48,107
Anderson Varejao\varejan01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Michael McAdoo\mcadoja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
JaVale McGee\mcgeeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.543,.470,.349,.398,15.2,76.6,46.2,77.1,6.0,7.5,13.3,100.0,105.4,99.4
