,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Klay Thompson\thompkl01,40:03,5,15,.333,0,6,.000,4,5,.800,0,6,6,2,0,1,2,3,14,+14
Kevin Durant\duranke01,37:56,10,16,.625,2,4,.500,15,16,.938,0,4,4,4,4,1,4,2,37,+18
Draymond Green\greendr01,37:47,2,9,.222,0,4,.000,1,2,.500,1,12,13,9,0,3,2,3,5,+8
Stephen Curry\curryst01,34:13,9,17,.529,5,8,.625,5,5,1.000,0,1,1,3,0,0,1,5,28,+2
Zaza Pachulia\pachuza01,22:13,1,5,.200,0,0,,3,3,1.000,4,6,10,4,0,0,3,1,5,-7
Andre Iguodala\iguodan01,28:04,2,5,.400,0,3,.000,0,0,,1,2,3,4,2,0,0,1,4,+4
Ian Clark\clarkia01,15:53,1,5,.200,1,3,.333,0,0,,0,2,2,0,0,0,1,3,3,-9
Shaun Livingston\livinsh01,13:36,2,3,.667,0,0,,0,1,.000,0,1,1,1,0,0,1,2,4,+2
David West\westda01,7:36,2,6,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,1,4,+2
Kevon Looney\looneke01,2:40,1,2,.500,0,0,,0,1,.000,0,0,0,0,0,0,1,2,2,-4
JaVale McGee\mcgeeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Michael McAdoo\mcadoja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anderson Varejao\varejan01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,83,.422,8,29,.276,28,33,.848,7,36,43,27,6,5,15,23,106,
