,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle\randlju01,32:00,7,10,.700,0,1,.000,6,9,.667,1,8,9,3,3,0,2,4,20,-10
D'Angelo Russell\russeda01,31:38,7,20,.350,4,9,.444,2,2,1.000,1,4,5,5,2,0,3,1,20,-11
Nick Young\youngni01,30:14,4,11,.364,3,10,.300,5,5,1.000,0,3,3,1,2,0,2,5,16,-17
Timofey Mozgov\mozgoti01,23:43,4,5,.800,0,0,,0,0,,3,2,5,1,0,1,3,1,8,-4
Luol Deng\denglu01,22:07,0,3,.000,0,2,.000,0,0,,1,1,2,3,1,1,1,1,0,+7
Jordan Clarkson\clarkjo01,28:44,6,14,.429,0,3,.000,0,0,,2,3,5,2,3,0,4,2,12,-13
Brandon Ingram\ingrabr01,20:51,3,10,.300,0,3,.000,3,4,.750,1,4,5,2,1,0,1,1,9,-6
Lou Williams\willilo02,19:36,2,7,.286,0,2,.000,3,4,.750,0,1,1,2,1,0,2,1,7,-7
Larry Nance\nancela02,12:08,1,2,.500,0,0,,0,0,,1,1,2,1,1,0,1,0,2,-11
Tarik Black\blackta01,11:02,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,1,2,2,+1
Jose Calderon\caldejo01,4:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-12
Metta World Peace\artesro01,3:43,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-2
Marcelo Huertas\huertma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,87,.402,7,32,.219,19,24,.792,11,30,41,20,15,2,21,18,96,
