,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Victor Oladipo\oladivi01,38:22,7,20,.350,3,7,.429,3,3,1.000,0,1,1,4,1,0,3,3,20,+25
Russell Westbrook\westbru01,33:39,11,21,.524,5,6,.833,6,6,1.000,4,7,11,16,1,1,7,3,33,+9
Andre Roberson\roberan03,30:03,4,7,.571,0,3,.000,0,2,.000,0,5,5,3,1,1,0,0,8,+9
Steven Adams\adamsst01,29:34,6,12,.500,0,0,,2,2,1.000,3,9,12,2,3,2,2,2,14,+13
Domantas Sabonis\sabondo01,6:48,0,1,.000,0,0,,0,0,,0,0,0,0,1,1,0,4,0,-6
Ersan Ilyasova\ilyaser01,25:41,0,6,.000,0,5,.000,0,0,,1,5,6,0,1,1,2,2,0,+8
Enes Kanter\kanteen01,21:56,8,11,.727,0,1,.000,0,0,,1,5,6,0,0,0,2,2,16,-1
Semaj Christon\chrisse01,20:05,2,6,.333,1,1,1.000,0,1,.000,0,0,0,2,2,0,1,1,5,+11
Kyle Singler\singlky01,18:11,2,3,.667,0,1,.000,0,0,,1,1,2,0,1,0,2,3,4,+5
Joffrey Lauvergne\lauvejo01,7:55,1,2,.500,0,1,.000,0,0,,0,2,2,1,2,0,0,1,2,+11
Anthony Morrow\morroan01,5:57,3,5,.600,0,1,.000,0,0,,0,0,0,1,1,0,0,1,6,+1
Alex Abrines\abrinal01,1:49,1,1,1.000,0,0,,3,3,1.000,0,0,0,0,1,0,0,0,5,0
Nick Collison\collini01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,95,.474,9,26,.346,14,17,.824,10,35,45,29,15,6,19,22,113,
