,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Andre Drummond\drumman01,36:48,.512,.500,.000,.500,22.7,37.6,30.6,4.6,2.8,5.6,0.0,22.8,125,76
Marcus Morris\morrima03,35:43,.326,.281,.500,.125,2.9,10.3,6.9,8.0,1.4,0.0,15.1,23.9,71,92
Kentavious Caldwell-Pope\caldwke01,33:58,.691,.615,.385,.385,12.3,5.4,8.7,9.7,3.0,0.0,0.0,19.2,159,91
Tobias Harris\harrito02,31:14,.667,.667,.250,.000,3.3,11.8,7.8,10.9,3.3,0.0,7.7,17.9,131,88
Ish Smith\smithis01,31:09,.315,.294,.176,.059,0.0,5.9,3.1,34.5,0.0,0.0,18.7,29.6,73,97
Jon Leuer\leuerjo01,27:28,.600,.600,.200,.000,0.0,10.1,5.3,5.2,0.0,2.5,0.0,7.8,133,93
Beno Udrih\udrihbe01,16:51,.600,.600,.000,.000,0.0,16.4,8.7,56.1,0.0,0.0,50.0,25.5,77,93
Stanley Johnson\johnsst04,15:37,,,,,0.0,23.6,12.5,15.8,3.3,0.0,,0.0,213,84
Aron Baynes\baynear01,11:12,.608,.500,.000,1.000,18.6,41.2,30.6,0.0,0.0,0.0,25.8,29.7,101,86
Darrun Hilliard\hillida01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Henry Ellenson\ellenhe01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Michael Gbinije\gbinimi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanovic\marjabo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.506,.472,.227,.227,34.8,80.8,59.2,59.0,8.6,5.7,13.4,100.0,105.1,89.0
