,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo\antetgi01,35:13,5,16,.313,1,3,.333,6,6,1.000,0,8,8,8,0,3,2,0,17,-11
Matthew Dellavedova\dellama01,30:57,4,7,.571,2,3,.667,0,0,,1,1,2,5,0,0,2,0,10,-6
Jabari Parker\parkeja01,29:12,6,16,.375,0,1,.000,1,2,.500,3,3,6,1,0,0,0,1,13,-10
Tony Snell\snellto01,25:41,2,7,.286,0,2,.000,0,0,,1,3,4,1,1,0,0,1,4,-1
Miles Plumlee\plumlmi01,17:05,4,6,.667,0,0,,0,0,,2,3,5,3,1,0,2,2,8,+1
Rashad Vaughn\vaughra01,22:19,2,8,.250,1,4,.250,0,0,,0,1,1,0,3,0,1,1,5,-14
Greg Monroe\monrogr01,17:46,4,9,.444,0,0,,3,3,1.000,1,4,5,0,2,0,1,2,11,-9
Malcolm Brogdon\brogdma01,17:03,3,7,.429,0,1,.000,0,1,.000,0,2,2,1,1,0,0,0,6,-9
Mirza Teletovic\teletmi01,15:48,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,1,0,1,2,-1
Michael Beasley\beaslmi01,15:47,3,5,.600,0,2,.000,1,2,.500,0,1,1,2,2,0,2,3,7,-8
John Henson\hensojo01,11:34,0,3,.000,0,0,,0,0,,1,2,3,1,0,0,2,5,0,-7
Thon Maker\makerth01,1:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Steve Novak\novakst01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,34,87,.391,4,17,.235,11,14,.786,10,30,40,22,10,4,12,16,83,
