,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Justise Winslow\winslju01,39:06,.523,.467,.200,.333,6.8,8.4,7.7,8.6,1.3,1.9,10.4,22.8,103,116
Hassan Whiteside\whiteha01,34:56,.696,.667,.000,.667,3.8,43.7,25.8,5.9,2.9,8.6,4.9,27.1,135,94
Goran Dragic\dragigo01,34:02,.636,.618,.412,.353,0.0,9.6,5.3,29.0,1.5,0.0,9.2,29.5,121,117
Dion Waiters\waitedi01,33:26,.455,.444,.333,.222,0.0,6.5,3.6,13.2,1.5,2.2,37.8,22.0,62,116
Luke Babbitt\babbilu01,25:13,.500,.500,.833,.000,0.0,21.6,11.9,22.9,0.0,0.0,0.0,11.0,121,115
Tyler Johnson\johnsty01,30:23,.487,.455,.091,.273,0.0,0.0,0.0,16.3,0.0,0.0,7.5,20.3,100,124
Rodney McGruder\mcgruro01,16:11,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0,124
James Johnson\johnsja01,14:05,.000,.000,.000,.000,0.0,15.5,8.5,9.2,3.6,0.0,0.0,6.6,29,109
Willie Reed\reedwi02,12:37,.333,.333,.000,.000,31.7,8.6,19.0,0.0,4.1,0.0,0.0,11.0,113,111
Josh McRoberts\mcrobjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Udonis Haslem\hasleud01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Williams\willide02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Richardson\richajo01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.541,.506,.250,.325,16.7,68.2,45.0,51.4,7.5,9.4,11.6,100.0,106.0,113.5
