,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pau Gasol\gasolpa01,31:08,9,18,.500,1,2,.500,1,2,.500,3,8,11,3,0,2,0,2,20,-1
Kawhi Leonard\leonaka01,29:49,8,16,.500,1,3,.333,10,12,.833,0,2,2,6,1,1,4,3,27,+12
David Lee\leeda02,24:39,3,7,.429,0,0,,2,2,1.000,4,7,11,0,1,0,0,4,8,-3
Tony Parker\parketo01,22:02,1,4,.250,1,1,1.000,0,0,,0,2,2,4,0,1,3,3,3,+1
Kyle Anderson\anderky01,20:07,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,2,2,5,+7
Manu Ginobili\ginobma01,27:30,2,8,.250,0,1,.000,0,0,,2,4,6,2,2,0,5,3,4,+1
Patty Mills\millspa02,25:07,6,10,.600,4,6,.667,2,2,1.000,0,0,0,0,0,0,1,1,18,+8
Jonathon Simmons\simmojo02,25:04,2,8,.250,0,1,.000,2,2,1.000,0,2,2,3,0,0,0,1,6,-1
Davis Bertans\bertada01,17:18,2,3,.667,2,3,.667,0,0,,1,0,1,0,0,1,0,2,6,+7
Dewayne Dedmon\dedmode01,16:25,2,5,.400,0,0,,5,6,.833,4,4,8,1,0,0,0,4,9,+6
Nicolas Laprovittola\laproni01,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Dejounte Murray\murrade01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bryn Forbes\forbebr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,82,.451,10,18,.556,22,26,.846,14,30,44,20,4,5,15,26,106,
