,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Blake Griffin\griffbl01,29:47,.541,.500,.071,.429,9.7,26.9,17.5,7.1,1.8,0.0,10.7,28.7,107,83
Chris Paul\paulch01,28:56,.507,.438,.375,.250,0.0,11.8,5.4,51.4,5.6,0.0,25.3,18.8,102,79
DeAndre Jordan\jordade01,28:06,.322,.300,.000,.200,20.5,40.7,29.7,0.0,0.0,3.2,8.4,19.4,86,81
J.J. Redick\redicjj01,27:32,.563,.563,.375,.000,0.0,0.0,0.0,0.0,3.9,0.0,0.0,13.3,117,85
Luc Mbah a Moute\mbahalu01,16:22,.255,.200,.400,.400,23.5,0.0,12.8,9.4,0.0,0.0,14.5,19.3,79,94
Austin Rivers\riverau01,28:51,.800,.818,.364,.182,0.0,7.9,3.6,8.0,0.0,0.0,20.2,23.6,118,92
Jamal Crawford\crawfja01,20:51,.558,.444,.333,.444,0.0,5.5,2.5,9.3,2.6,0.0,0.0,23.6,126,87
Raymond Felton\feltora01,19:04,.333,.333,.333,.000,0.0,12.0,5.5,17.4,0.0,0.0,25.0,19.2,62,91
Wesley Johnson\johnswe01,18:43,.375,.375,.750,.000,5.1,30.5,16.7,16.3,0.0,9.5,20.0,12.2,86,78
Marreese Speights\speigma01,17:00,.225,.188,.750,.250,0.0,26.9,12.3,0.0,3.2,5.2,0.0,23.9,54,76
Diamond Stone\stonedi01,2:24,,,,,0.0,47.6,21.7,0.0,0.0,0.0,,0.0,0,82
Brandon Bass\bassbr01,2:24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,94
Alan Anderson\anderal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.479,.446,.325,.241,28.0,83.3,53.3,50.0,9.0,7.4,12.4,100.0,99.1,84.4
