,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Blake Griffin\griffbl01,29:47,7,14,.500,0,1,.000,4,6,.667,3,7,10,1,1,0,2,2,18,+12
Chris Paul\paulch01,28:56,3,8,.375,1,3,.333,2,2,1.000,0,3,3,9,3,0,3,1,9,+14
DeAndre Jordan\jordade01,28:06,3,10,.300,0,0,,1,2,.500,6,10,16,0,0,1,1,1,7,+18
J.J. Redick\redicjj01,27:32,4,8,.500,1,3,.333,0,0,,0,0,0,0,2,0,0,2,9,+4
Luc Mbah a Moute\mbahalu01,16:22,1,5,.200,0,2,.000,1,2,.500,4,0,4,1,0,0,1,0,3,+8
Austin Rivers\riverau01,28:51,8,11,.727,2,4,.500,1,2,.500,0,2,2,1,0,0,3,2,19,+12
Jamal Crawford\crawfja01,20:51,4,9,.444,0,3,.000,4,4,1.000,0,1,1,1,1,0,0,1,12,+9
Raymond Felton\feltora01,19:04,2,6,.333,0,2,.000,0,0,,0,2,2,2,0,0,2,1,4,-1
Wesley Johnson\johnswe01,18:43,1,4,.250,1,3,.333,0,0,,1,5,6,2,0,2,1,2,3,-1
Marreese Speights\speigma01,17:00,1,8,.125,1,6,.167,1,2,.500,0,4,4,0,1,1,0,2,4,+4
Brandon Bass\bassbr01,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Diamond Stone\stonedi01,2:24,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7
Alan Anderson\anderal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,34,83,.410,6,27,.222,14,20,.700,14,35,49,17,8,4,13,14,88,
