,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
George Hill\hillge01,31:56,.692,.692,.308,.000,3.6,3.0,3.3,26.6,3.4,0.0,13.3,23.3,117,101
Rodney Hood\hoodro01,28:16,.239,.250,.200,.100,0.0,10.2,5.5,0.0,0.0,0.0,16.1,21.8,40,105
Rudy Gobert\goberru01,26:07,.820,.750,.000,.500,8.8,25.7,18.0,23.5,0.0,6.6,45.0,16.9,99,94
Joe Johnson\johnsjo02,25:07,.389,.389,.222,.000,0.0,3.8,2.1,24.6,4.3,0.0,0.0,17.8,91,99
Boris Diaw\diawbo01,18:45,.000,.000,.500,.000,0.0,5.1,2.8,0.0,0.0,0.0,66.7,15.9,0,107
Dante Exum\exumda01,25:39,.644,.500,.167,.667,0.0,7.5,4.1,16.0,2.1,0.0,0.0,15.0,140,101
Derrick Favors\favorde01,22:47,.256,.125,.000,.500,5.0,42.1,25.2,0.0,2.4,0.0,0.0,21.3,62,86
Joe Ingles\inglejo01,20:27,.571,.571,.429,.000,5.6,28.2,17.9,32.1,2.6,0.0,12.5,19.4,110,91
Trey Lyles\lylestr01,18:53,.438,.438,.500,.000,12.1,15.3,13.8,11.9,0.0,0.0,11.1,23.7,88,102
Shelvin Mack\macksh01,13:48,.400,.400,.400,.000,0.0,0.0,0.0,15.8,0.0,0.0,37.5,28.8,51,108
Raul Neto\netora01,4:08,,,,,0.0,23.2,12.6,40.0,0.0,0.0,100.0,12.0,39,99
Joel Bolomboy\bolomjo01,4:08,.798,1.000,.000,2.000,0.0,23.2,12.6,66.8,13.1,0.0,0.0,22.6,169,72
Jeff Withey\witheje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.476,.445,.260,.178,16.7,72.0,46.7,62.1,9.0,3.6,18.6,100.0,84.4,99.1
