,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Bradley Beal\bealbr01,39:49,.391,.353,.471,.118,0.0,9.3,4.6,4.2,2.7,2.3,5.3,22.6,79,112
Marcin Gortat\gortama01,37:47,.946,.667,.000,3.333,3.2,35.9,19.3,4.0,0.0,0.0,0.0,9.4,205,111
John Wall\walljo01,36:46,.519,.447,.158,.263,0.0,10.1,5.0,70.8,1.4,2.5,19.1,34.0,102,114
Otto Porter\porteot01,36:09,.421,.400,.333,.067,10.0,3.4,6.7,0.0,1.5,0.0,0.0,20.4,96,118
Markieff Morris\morrima02,35:31,.688,.688,.250,.000,0.0,24.3,12.0,4.9,3.0,2.6,33.3,16.1,85,106
Andrew Nicholson\nichoan01,24:41,.424,.444,.333,.111,4.9,10.0,7.4,0.0,4.3,0.0,9.6,20.2,80,109
Trey Burke\burketr01,16:14,.307,.250,.000,.500,0.0,7.6,3.8,9.4,0.0,5.7,0.0,14.4,75,116
Marcus Thornton\thornma01,15:51,.751,.750,.333,.500,15.2,23.3,19.2,13.6,0.0,0.0,0.0,22.1,158,115
Kelly Oubre\oubreke01,14:32,.563,.500,.500,.250,8.3,8.5,8.4,11.9,0.0,0.0,31.1,21.2,88,120
Jason Smith\smithja02,4:50,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.8,76,122
Tomas Satoransky\satorto01,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122
Sheldon Mac\mcclesh01,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122
Daniel Ochefu\ochefda01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.531,.471,.291,.291,18.2,74.4,46.0,50.0,8.0,7.0,12.6,100.0,103.2,112.2
