,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rondae Hollis-Jefferson\holliro01,30:12,1,7,.143,0,0,,0,0,,1,2,3,3,0,1,2,1,2,-23
Jeremy Lin\linje01,23:55,6,10,.600,1,2,.500,1,2,.500,0,2,2,4,4,0,3,0,14,-15
Brook Lopez\lopezbr01,21:48,5,11,.455,0,1,.000,3,3,1.000,2,0,2,0,0,1,1,2,13,-13
Bojan Bogdanovic\bogdabo02,20:45,5,11,.455,2,4,.500,3,4,.750,2,1,3,1,0,0,1,1,15,-10
Trevor Booker\booketr01,19:15,2,7,.286,0,2,.000,1,2,.500,2,6,8,0,3,0,1,0,5,-8
Sean Kilpatrick\kilpase01,25:09,3,13,.231,0,6,.000,7,7,1.000,0,2,2,0,1,0,1,1,13,-4
Joe Harris\harrijo01,22:50,4,8,.500,1,5,.200,0,1,.000,0,2,2,1,1,0,1,3,9,-22
Isaiah Whitehead\whiteis01,21:09,3,11,.273,0,2,.000,0,0,,2,2,4,2,0,0,5,3,6,-16
Justin Hamilton\hamilju01,16:41,0,4,.000,0,2,.000,0,0,,2,5,7,0,1,1,0,0,0,-19
Luis Scola\scolalu01,16:02,2,5,.400,0,1,.000,0,0,,4,4,8,3,1,0,0,4,4,-11
Anthony Bennett\bennean01,12:00,2,7,.286,1,5,.200,2,2,1.000,0,1,1,0,1,0,0,0,7,-3
Chris McCullough\mcculch01,10:14,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,0,0,0,-6
Greivis Vasquez\vasqugr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,96,.344,5,31,.161,17,21,.810,16,29,45,14,12,3,15,15,88,
