,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Dwyane Wade\wadedw01,28:45,.446,.423,.231,.077,0.0,8.2,4.9,18.2,5.0,2.6,27.1,26.6,78,84
Jimmy Butler\butleji01,27:17,.788,.700,.300,.900,4.2,14.4,10.2,10.2,0.0,0.0,6.7,22.7,159,93
Rajon Rondo\rondora01,25:27,.625,.625,.125,.000,4.5,9.3,7.3,21.2,3.7,2.9,27.3,17.9,105,86
Taj Gibson\gibsota01,24:39,.778,.778,.000,.000,9.3,28.7,20.8,0.0,1.9,3.0,18.2,18.5,124,79
Robin Lopez\lopezro01,19:25,.340,.200,.000,.400,11.8,12.2,12.0,11.6,0.0,7.6,0.0,12.5,114,89
Nikola Mirotic\mirotni01,24:58,.571,.571,.714,.000,4.6,28.4,18.7,17.2,0.0,8.9,17.6,28.2,105,80
Doug McDermott\mcderdo01,24:10,.510,.400,.300,.400,0.0,9.8,5.8,16.1,0.0,0.0,7.8,21.9,115,95
Cristiano Felicio\feliccr01,22:33,.500,.500,.000,.000,10.1,17.4,14.5,5.2,0.0,0.0,20.0,9.2,106,91
Isaiah Canaan\canaais01,22:01,.952,.929,.571,.286,5.2,7.1,6.4,38.4,2.2,0.0,0.0,14.8,204,92
Denzel Valentine\valende01,7:01,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,10.5,0.0,17.7,110,94
Michael Carter-Williams\cartemi01,4:55,.000,.000,.000,.000,0.0,32.0,19.0,0.0,9.6,0.0,66.7,25.3,0,63
Bobby Portis\portibo01,4:25,.750,.750,.000,.000,51.8,0.0,21.1,0.0,0.0,0.0,20.0,46.9,121,100
Paul Zipser\zipsepa01,4:25,.000,.000,.000,.000,25.9,17.8,21.1,24.2,10.7,0.0,0.0,9.4,103,68
Team Totals,240,.609,.567,.303,.202,31.0,73.8,56.3,57.8,8.9,13.8,16.4,100.0,116.6,87.0
