,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Jusuf Nurkic\nurkiju01,38:07,.381,.357,.000,.500,14.6,35.6,25.5,4.7,1.4,8.7,5.5,21.8,94,102
Danilo Gallinari\gallida01,37:05,.551,.364,.455,.727,3.0,2.8,2.9,4.4,0.0,0.0,0.0,18.0,130,121
Emmanuel Mudiay\mudiaem01,32:55,.426,.382,.235,.235,3.4,15.9,9.8,24.1,0.0,2.0,9.6,29.0,94,116
Will Barton\bartowi01,29:48,.870,.857,.286,.714,0.0,14.0,7.2,19.4,0.0,2.2,0.0,14.2,184,116
Nikola Jokic\jokicni01,22:22,.667,.667,.111,.000,10.0,9.3,9.6,10.7,0.0,0.0,30.8,26.7,95,119
Wilson Chandler\chandwi01,31:17,.467,.357,.714,.857,0.0,10.0,5.2,5.1,0.0,2.1,0.0,14.2,108,117
Jameer Nelson\nelsoja01,21:30,.722,.722,.444,.000,5.2,4.9,5.0,10.2,2.4,0.0,0.0,19.2,152,115
Kenneth Faried\farieke01,15:09,.630,.333,.000,1.333,7.4,27.6,17.8,0.0,0.0,4.4,0.0,14.4,149,111
Jamal Murray\murraja01,11:47,.113,.000,.250,.250,0.0,17.7,9.2,24.7,0.0,0.0,18.4,21.2,41,116
Jarnell Stokes\stokeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malik Beasley\beaslma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mike Miller\millemi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Juan Hernangomez\hernaju01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.529,.463,.272,.432,25.6,76.1,51.7,42.4,2.2,12.5,7.7,100.0,111.6,114.9
