,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMar DeRozan\derozde01,38:52,13,23,.565,0,1,.000,7,9,.778,2,3,5,1,1,0,1,1,33,0
Kyle Lowry\lowryky01,35:37,10,20,.500,1,5,.200,8,10,.800,0,5,5,7,3,0,3,4,29,+7
Jonas Valanciunas\valanjo01,30:36,6,12,.500,0,0,,0,0,,3,6,9,1,0,1,2,4,12,+6
DeMarre Carroll\carrode01,28:31,4,8,.500,2,5,.400,0,0,,0,2,2,0,0,1,0,4,10,+6
Pascal Siakam\siakapa01,15:09,1,4,.250,0,0,,0,0,,1,3,4,0,0,0,0,3,2,-4
Patrick Patterson\pattepa01,32:51,1,4,.250,0,1,.000,1,2,.500,3,4,7,3,1,5,0,3,3,+7
Cory Joseph\josepco01,23:36,3,8,.375,0,1,.000,0,0,,1,2,3,4,1,0,1,3,6,-6
Jakob Poeltl\poeltja01,17:24,0,3,.000,0,0,,1,2,.500,1,4,5,0,0,2,0,3,1,-3
Terrence Ross\rosste01,14:57,2,5,.400,1,3,.333,2,2,1.000,0,2,2,0,1,0,0,2,7,+3
Norman Powell\powelno01,2:27,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-1
Bruno Caboclo\cabocbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Fred VanVleet\vanvlfr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lucas Nogueira\noguelu01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,41,88,.466,4,16,.250,19,25,.760,11,32,43,16,7,9,7,28,105,
