,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Blake Griffin\griffbl01,31:30,4,7,.571,1,1,1.000,12,14,.857,0,11,11,5,0,1,5,5,21,+18
DeAndre Jordan\jordade01,31:19,8,10,.800,0,0,,3,6,.500,3,8,11,2,1,2,1,5,19,+16
Chris Paul\paulch01,29:57,8,15,.533,2,4,.500,6,7,.857,0,5,5,8,2,0,2,4,24,+21
J.J. Redick\redicjj01,25:36,6,13,.462,1,3,.333,0,0,,0,3,3,1,1,0,2,1,13,+16
Luc Mbah a Moute\mbahalu01,19:58,1,3,.333,0,1,.000,0,1,.000,0,1,1,1,1,0,0,0,2,+9
Jamal Crawford\crawfja01,26:45,5,10,.500,0,0,,4,4,1.000,0,2,2,3,2,0,1,0,14,+6
Austin Rivers\riverau01,23:40,4,9,.444,0,0,,0,0,,0,0,0,1,0,0,2,0,8,+5
Raymond Felton\feltora01,18:03,1,3,.333,1,1,1.000,1,2,.500,0,1,1,0,0,1,0,0,4,-3
Wesley Johnson\johnswe01,16:30,1,3,.333,1,3,.333,0,0,,0,5,5,0,0,0,0,3,3,0
Marreese Speights\speigma01,13:06,2,6,.333,0,3,.000,4,4,1.000,2,3,5,0,1,0,2,4,8,+4
Diamond Stone\stonedi01,3:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2
Brandon Bass\bassbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alan Anderson\anderal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,80,.500,6,16,.375,30,38,.789,5,39,44,21,8,4,16,23,116,
