,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Eric Bledsoe\bledser01,31:58,5,14,.357,0,1,.000,2,4,.500,1,7,8,5,0,0,3,3,12,-20
Brandon Knight\knighbr03,31:25,6,13,.462,2,4,.500,4,4,1.000,0,0,0,0,0,0,2,2,18,-24
T.J. Warren\warretj01,28:56,6,14,.429,0,1,.000,3,5,.600,2,2,4,1,1,0,1,3,15,-19
Jared Dudley\dudleja01,19:15,2,6,.333,1,3,.333,0,0,,1,4,5,1,2,0,2,5,5,-12
Tyson Chandler\chandty01,18:07,1,2,.500,0,0,,2,2,1.000,2,5,7,1,0,0,1,6,4,-6
P.J. Tucker\tuckepj01,26:49,3,6,.500,1,2,.500,0,0,,1,5,6,0,2,0,2,2,7,-1
Alex Len\lenal01,24:51,4,13,.308,0,0,,5,8,.625,2,4,6,1,1,0,2,5,13,-14
Tyler Ulis\ulisty01,17:57,1,5,.200,0,1,.000,2,2,1.000,1,1,2,6,2,0,2,2,4,-1
Marquese Chriss\chrisma01,17:33,2,4,.500,0,1,.000,5,6,.833,0,2,2,1,1,0,3,4,9,+4
Leandro Barbosa\barbole01,12:32,4,5,.800,1,2,.500,0,0,,0,2,2,1,1,0,0,1,9,-2
Dragan Bender\bendedr01,6:52,0,1,.000,0,0,,0,0,,0,1,1,2,1,0,0,0,0,+1
Alan Williams\willial03,3:45,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,2,0,2,+4
John Jenkins\jenkijo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,84,.417,5,15,.333,23,31,.742,10,34,44,19,11,0,20,33,98,
