,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kyle Korver\korveky01,32:14,.773,.773,.727,.000,0.0,0.0,0.0,0.0,1.6,0.0,15.4,17.2,116,108
Dennis Schroder\schrode01,32:00,.511,.429,.357,.429,3.1,9.4,5.6,29.4,0.0,0.0,5.7,23.5,121,110
Paul Millsap\millspa01,31:41,.412,.357,.071,.286,15.5,37.9,24.3,47.7,4.8,2.9,20.2,26.6,99,92
Dwight Howard\howardw01,30:05,.506,.556,.000,2.222,22.8,19.9,21.7,6.4,0.0,12.3,10.1,28.0,107,98
Kent Bazemore\bazemke01,28:09,.511,.389,.556,.444,0.0,10.7,4.2,6.1,5.5,3.3,0.0,16.3,123,95
Thabo Sefolosha\sefolth01,23:48,.400,.400,.400,.000,4.1,37.8,17.4,20.9,8.6,0.0,28.6,12.5,83,87
Mike Muscala\muscami01,20:16,.665,.500,.250,2.000,9.7,0.0,5.8,0.0,0.0,0.0,0.0,15.8,154,111
Malcolm Delaney\delanma01,16:00,.500,.500,.667,.000,0.0,18.8,7.4,44.4,0.0,0.0,0.0,16.0,136,108
Kris Humphries\humphkr01,13:10,1.330,1.500,1.000,2.000,0.0,11.4,4.5,24.8,0.0,0.0,34.7,9.3,161,110
Tim Hardaway\hardati02,12:37,.342,.333,.500,.500,7.8,11.9,9.4,0.0,0.0,0.0,12.0,28.1,71,110
Ryan Kelly\kellyry01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Taurean Waller-Prince\princta02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre' Bembry\bembrde01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.532,.487,.380,.595,34.7,81.3,53.1,72.7,11.7,11.5,11.5,100.0,113.1,101.3
