,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Korver\korveky01,32:14,6,11,.545,5,8,.625,0,0,,0,0,0,0,1,0,2,1,17,0
Dennis Schroder\schrode01,32:00,5,14,.357,2,5,.400,5,6,.833,1,2,3,5,0,0,1,0,17,+11
Paul Millsap\millspa01,31:41,5,14,.357,0,1,.000,3,4,.750,5,8,13,8,3,1,4,4,13,+12
Dwight Howard\howardw01,30:05,5,9,.556,0,0,,8,20,.400,7,4,11,1,0,4,2,5,18,+9
Kent Bazemore\bazemke01,28:09,3,9,.333,1,5,.200,4,4,1.000,0,2,2,1,3,1,0,3,11,-3
Thabo Sefolosha\sefolth01,23:48,2,5,.400,0,2,.000,0,0,,1,6,7,3,4,0,2,1,4,+20
Mike Muscala\muscami01,20:16,2,4,.500,0,1,.000,6,8,.750,2,0,2,0,0,0,0,1,10,+3
Malcolm Delaney\delanma01,16:00,2,6,.333,2,4,.500,0,0,,0,2,2,4,0,0,0,3,6,0
Kris Humphries\humphkr01,13:10,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,2,0,0,1,1,5,+1
Tim Hardaway\hardati02,12:37,2,6,.333,0,3,.000,1,3,.333,1,1,2,0,0,0,1,1,5,+2
Ryan Kelly\kellyry01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
DeAndre' Bembry\bembrde01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Taurean Waller-Prince\princta02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,79,.418,11,30,.367,29,47,.617,17,26,43,24,11,6,13,20,106,
