,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DeMarcus Cousins\couside01,31:43,.404,.406,.313,.188,9.5,30.9,22.4,5.6,0.0,3.1,18.8,31.5,71,108
Rudy Gay\gayru01,31:03,.684,.654,.154,.538,0.0,9.5,5.7,32.7,3.3,0.0,11.1,27.3,128,113
Arron Afflalo\afflaar01,25:26,1.042,1.000,.000,1.000,0.0,7.7,4.7,12.4,2.0,0.0,18.8,9.8,171,117
Kosta Koufos\koufoko01,24:47,.400,.400,.000,.000,6.1,27.7,19.1,18.1,4.1,7.9,44.4,17.0,64,99
Ty Lawson\lawsoty01,23:08,.680,.700,.200,.400,6.5,4.2,5.1,41.8,6.6,0.0,14.5,13.9,140,108
Matt Barnes\barnema02,27:45,.709,.667,.889,.222,0.0,17.7,10.7,17.8,1.8,0.0,28.8,23.5,99,112
Ben McLemore\mclembe01,25:40,.505,.500,.182,.182,5.8,3.8,4.6,7.0,0.0,3.8,0.0,21.7,106,121
Garrett Temple\templga01,24:52,.563,.563,.250,.000,0.0,7.9,4.8,20.5,0.0,3.9,11.1,17.0,108,119
Anthony Tolliver\tollian01,13:41,.500,.500,1.000,.000,0.0,7.2,4.3,10.8,0.0,0.0,25.0,13.7,81,122
Willie Cauley-Stein\caulewi01,11:55,.000,.000,.000,.000,12.6,0.0,5.0,11.2,4.3,8.2,33.3,11.8,41,111
Skal Labissiere\labissk01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malachi Richardson\richama01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Darren Collison\collida01,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Team Totals,240,.570,.547,.307,.253,18.8,65.3,46.9,72.2,10.7,12.2,18.6,100.0,101.3,113.1
