,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
T.J. Warren\warretj01,36:45,.571,.524,.238,.190,8.3,8.5,8.4,5.5,1.3,2.4,0.0,26.5,125,108
Eric Bledsoe\bledser01,35:36,.702,.682,.273,.818,0.0,14.7,7.2,29.4,1.3,0.0,0.0,18.0,154,109
Devin Booker\bookede01,28:19,.292,.292,.333,.000,0.0,0.0,0.0,10.6,0.0,3.1,14.3,21.2,60,112
Tyson Chandler\chandty01,28:15,.592,.600,.000,.800,10.8,55.4,32.9,5.3,0.0,0.0,22.8,13.3,105,103
Jared Dudley\dudleja01,27:04,.571,.571,.571,.286,3.8,3.9,3.8,16.8,5.3,3.3,20.2,15.6,103,100
Brandon Knight\knighbr03,25:38,.349,.292,.250,.167,4.0,0.0,2.0,17.9,3.7,0.0,18.9,26.6,71,106
Alex Len\lenal01,18:28,.381,.286,.000,.286,5.5,39.6,22.4,8.2,2.6,14.4,0.0,18.3,95,90
Leandro Barbosa\barbole01,14:39,.509,.500,.000,.333,7.0,14.2,10.6,24.1,0.0,0.0,0.0,20.1,120,112
Marquese Chriss\chrisma01,13:52,.583,.583,.167,.000,7.4,22.6,14.9,0.0,6.9,0.0,14.3,21.6,101,95
P.J. Tucker\tuckepj01,7:48,.000,.000,1.000,.000,0.0,40.1,19.9,0.0,0.0,0.0,50.0,11.0,0,106
Dragan Bender\bendedr01,3:23,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0,114
Tyler Ulis\ulisty01,0:13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114
Alan Williams\willial03,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.495,.456,.256,.278,23.4,84.8,53.8,51.4,9.9,11.1,9.8,100.0,99.4,105.4
