,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
1,Atlanta Hawks*,82,19880,.444,14.2,.650,.264,.127,.104,.155,.350,.491,.591,.422,.421,.424,.357,.510,.043,278,.227,851,.843,.255,.399
2,Boston Celtics*,82,19755,.450,13.5,.685,.282,.159,.093,.151,.315,.505,.627,.432,.402,.417,.332,.505,.047,304,.243,969,.845,.209,.344
3,Brooklyn Nets,82,19755,.458,13.3,.700,.282,.152,.108,.158,.300,.498,.619,.418,.402,.425,.366,.477,.049,338,.250,1015,.794,.219,.387
4,Chicago Bulls*,82,19780,.456,12.9,.701,.314,.149,.094,.145,.299,.503,.607,.418,.416,.423,.344,.525,.050,332,.281,1086,.851,.224,.399
5,Charlotte Hornets,82,19830,.456,14.1,.637,.289,.116,.088,.144,.363,.507,.608,.425,.427,.417,.369,.520,.040,252,.253,1013,.865,.228,.391
6,Cleveland Cavaliers*,82,19880,.458,13.3,.677,.292,.146,.104,.134,.323,.504,.633,.404,.406,.406,.361,.524,.048,314,.250,1043,.849,.239,.365
7,Dallas Mavericks,82,19780,.469,13.7,.680,.261,.155,.105,.159,.320,.510,.671,.433,.416,.387,.380,.491,.048,277,.216,865,.807,.257,.417
8,Denver Nuggets,82,19755,.477,13.2,.703,.290,.149,.103,.160,.297,.519,.641,.463,.446,.399,.375,.494,.052,350,.245,1032,.823,.222,.404
9,Detroit Pistons,82,19805,.460,13.4,.693,.262,.171,.113,.147,.307,.502,.660,.373,.440,.420,.366,.533,.038,237,.228,959,.863,.229,.401
10,Golden State Warriors*,82,19780,.435,13.2,.689,.298,.157,.096,.138,.311,.485,.622,.372,.369,.399,.324,.512,.052,343,.253,1043,.825,.203,.351
11,Houston Rockets*,82,19780,.463,13.4,.672,.292,.164,.079,.137,.328,.522,.689,.410,.391,.375,.343,.508,.051,356,.259,1185,.832,.233,.368
12,Indiana Pacers*,82,19855,.451,14.2,.654,.261,.147,.095,.151,.346,.501,.625,.434,.432,.397,.355,.477,.046,293,.247,943,.883,.250,.398
13,Los Angeles Clippers*,82,19755,.452,13.7,.692,.261,.154,.119,.159,.308,.498,.659,.428,.404,.369,.349,.525,.052,338,.224,920,.829,.219,.378
14,Los Angeles Lakers,82,19705,.483,13.3,.682,.301,.145,.088,.148,.318,.536,.680,.434,.403,.420,.370,.544,.070,454,.241,1033,.853,.215,.382
15,Memphis Grizzlies*,82,19905,.443,14.1,.644,.275,.144,.089,.136,.356,.492,.622,.417,.382,.381,.354,.476,.043,248,.246,897,.820,.243,.398
16,Miami Heat,82,19780,.450,12.5,.730,.305,.163,.118,.144,.270,.490,.585,.427,.464,.382,.343,.437,.043,273,.267,968,.831,.233,.361
17,Milwaukee Bucks*,82,19780,.458,13.1,.660,.323,.137,.091,.110,.340,.512,.623,.426,.392,.391,.353,.551,.054,335,.274,1040,.863,.288,.390
18,Minnesota Timberwolves,82,19805,.475,13.1,.676,.315,.141,.088,.132,.324,.528,.661,.434,.398,.394,.366,.494,.063,407,.264,1048,.853,.220,.413
19,New Orleans Pelicans,82,19905,.450,13.6,.665,.289,.145,.100,.130,.335,.499,.644,.379,.398,.390,.353,.499,.056,381,.243,1021,.824,.215,.371
20,New York Knicks,82,19855,.455,12.8,.677,.328,.142,.084,.122,.323,.506,.613,.417,.395,.400,.348,.459,.055,352,.280,1109,.820,.230,.395
21,Oklahoma City Thunder*,82,19805,.459,12.2,.709,.321,.172,.102,.113,.291,.502,.622,.414,.409,.382,.356,.462,.052,314,.276,1109,.834,.230,.392
22,Orlando Magic,82,19805,.467,13.0,.695,.307,.150,.101,.137,.305,.510,.638,.437,.375,.402,.367,.503,.059,364,.256,1044,.849,.221,.406
23,Philadelphia 76ers,82,19830,.461,12.8,.710,.304,.155,.106,.145,.290,.503,.637,.393,.426,.399,.357,.494,.050,331,.261,1054,.845,.217,.410
24,Phoenix Suns,82,19830,.467,13.2,.695,.305,.135,.105,.149,.305,.504,.629,.392,.428,.407,.382,.465,.052,326,.259,1047,.807,.211,.458
25,Portland Trail Blazers*,82,19930,.455,13.2,.709,.280,.165,.109,.155,.291,.489,.584,.431,.443,.412,.370,.440,.039,241,.240,909,.801,.199,.369
26,Sacramento Kings,82,19880,.462,14.2,.639,.240,.173,.087,.140,.361,.517,.678,.448,.413,.391,.364,.526,.055,337,.221,907,.839,.230,.416
27,San Antonio Spurs*,82,19805,.443,12.8,.716,.295,.164,.104,.153,.284,.483,.596,.369,.416,.432,.344,.508,.054,326,.252,916,.832,.244,.332
28,Toronto Raptors*,82,19780,.449,13.4,.671,.268,.180,.094,.128,.329,.495,.649,.395,.381,.398,.354,.495,.051,321,.243,916,.841,.242,.354
29,Utah Jazz*,82,19755,.443,12.8,.721,.293,.163,.112,.153,.279,.476,.595,.391,.381,.406,.358,.409,.049,288,.244,883,.775,.190,.385
30,Washington Wizards*,82,19855,.466,13.5,.681,.294,.148,.099,.140,.319,.514,.637,.409,.450,.411,.364,.490,.052,335,.248,990,.830,.210,.405
,League Average,82,19815,.457,13.3,.684,.290,.152,.099,.142,.316,.503,.631,.414,.412,.403,.358,.495,.051,322,.250,994,.835,.228,.388
