,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,32:23,9,14,.643,0,3,.000,1,2,.500,3,8,11,14,0,1,4,3,19,+27
Kyrie Irving\irvinky01,29:48,12,22,.545,4,7,.571,1,1,1.000,1,1,2,4,2,0,0,1,29,+13
J.R. Smith\smithjr01,25:14,3,13,.231,2,8,.250,0,0,,0,3,3,2,1,0,0,1,8,+13
Kevin Love\loveke01,24:58,6,15,.400,2,6,.333,9,12,.750,2,10,12,2,3,0,2,3,23,+24
Tristan Thompson\thomptr01,22:25,0,1,.000,0,0,,0,0,,2,4,6,0,0,0,2,4,0,+17
Richard Jefferson\jefferi01,25:47,5,7,.714,2,3,.667,1,2,.500,0,4,4,1,2,0,2,1,13,+17
Mike Dunleavy\dunlemi02,22:32,2,3,.667,0,1,.000,0,0,,0,4,4,2,3,0,0,0,4,+18
Channing Frye\fryech01,14:09,2,6,.333,2,5,.400,0,0,,2,2,4,0,1,1,1,4,6,+7
Iman Shumpert\shumpim01,13:51,1,3,.333,0,1,.000,0,0,,1,1,2,3,0,1,2,2,2,-5
DeAndre Liggins\liggide01,12:00,2,3,.667,0,0,,0,0,,0,3,3,3,0,1,1,1,4,+11
Jordan McRae\mcraejo01,5:50,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,1,2,+1
Chris Andersen\anderch01,5:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,+1
James Jones\jonesja02,5:30,1,2,.500,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,1,5,+1
Team Totals,240,45,94,.479,13,35,.371,14,19,.737,11,40,51,31,12,5,14,22,117,
