,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kevin Durant\duranke01,36:36,.668,.639,.167,.278,0.0,27.3,14.6,20.5,2.7,3.5,0.0,24.3,139,121
Stephen Curry\curryst01,34:06,.630,.583,.556,.333,0.0,8.8,4.7,20.6,0.0,0.0,16.2,31.8,108,139
Klay Thompson\thompkl01,33:21,.423,.423,.462,.000,0.0,3.0,1.6,8.8,0.0,0.0,7.1,18.5,84,142
Draymond Green\greendr01,32:37,.605,.571,.357,.143,17.5,21.5,19.6,29.7,7.5,2.0,11.8,22.8,125,114
Zaza Pachulia\pachuza01,20:05,1.000,1.000,.000,.000,5.7,10.0,8.0,6.4,0.0,0.0,75.0,8.8,60,138
Andre Iguodala\iguodan01,26:48,.333,.333,.667,.000,4.3,3.7,4.0,14.1,1.8,0.0,25.0,6.6,89,137
Ian Clark\clarkia01,13:22,.282,.250,.500,.250,0.0,0.0,0.0,21.9,0.0,4.9,0.0,29.3,71,141
Shaun Livingston\livinsh01,12:54,.333,.333,.333,.000,0.0,15.5,8.3,0.0,3.8,0.0,25.0,13.7,49,127
David West\westda01,10:39,.500,.500,.000,.000,10.7,9.4,10.0,0.0,4.6,6.1,66.7,24.8,38,125
Patrick McCaw\mccawpa01,9:00,.333,.333,.667,.000,0.0,0.0,0.0,30.8,5.4,7.2,0.0,14.7,95,127
Kevon Looney\looneke01,3:41,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,143
JaVale McGee\mcgeeja01,3:41,.410,.500,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,76,143
Anderson Varejao\varejan01,3:10,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,123,142
Team Totals,240,.538,.512,.388,.212,19.0,56.3,38.9,60.0,11.2,8.1,14.7,100.0,101.8,131.3
