,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LaMarcus Aldridge\aldrila01,35:11,10,20,.500,1,1,1.000,5,6,.833,8,6,14,3,1,0,2,1,26,+10
Kawhi Leonard\leonaka01,32:03,10,21,.476,0,3,.000,15,15,1.000,3,2,5,3,5,0,2,1,35,+14
Tony Parker\parketo01,26:28,4,9,.444,1,2,.500,0,0,,0,3,3,4,0,0,2,4,9,-12
Kyle Anderson\anderky01,22:24,1,1,1.000,1,1,1.000,0,0,,2,2,4,0,1,0,0,1,3,-4
Pau Gasol\gasolpa01,18:16,1,4,.250,0,0,,0,0,,0,4,4,1,0,0,1,3,2,-12
Jonathon Simmons\simmojo02,28:10,8,14,.571,3,5,.600,1,3,.333,1,3,4,3,0,1,2,2,20,+33
Manu Ginobili\ginobma01,20:52,4,10,.400,2,6,.333,0,0,,0,5,5,2,1,0,0,1,10,+22
Patty Mills\millspa02,17:51,4,9,.444,3,5,.600,0,0,,0,1,1,5,4,0,0,1,11,+34
Dewayne Dedmon\dedmode01,16:34,1,4,.250,0,0,,0,0,,4,4,8,0,1,2,1,3,2,+29
David Lee\leeda02,11:08,2,4,.500,0,0,,2,2,1.000,3,3,6,2,0,0,2,1,6,+13
Davis Bertans\bertada01,3:41,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,+6
Bryn Forbes\forbebr01,3:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Nicolas Laprovittola\laproni01,3:41,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,1,0,+6
Team Totals,240,47,98,.480,12,24,.500,23,26,.885,21,34,55,25,13,3,13,19,129,
