,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard\lillada01,35:25,13,20,.650,4,6,.667,9,9,1.000,1,8,9,6,0,0,4,3,39,+1
C.J. McCollum\mccolcj01,34:36,8,16,.500,2,2,1.000,7,7,1.000,1,1,2,3,1,0,3,3,25,+13
Al-Farouq Aminu\aminual01,28:24,3,6,.500,2,3,.667,1,1,1.000,0,4,4,1,1,0,1,0,9,0
Maurice Harkless\harklma01,22:21,0,2,.000,0,1,.000,0,0,,0,1,1,1,2,0,2,1,0,-13
Mason Plumlee\plumlma01,14:34,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,0,4,2,-7
Allen Crabbe\crabbal01,29:09,6,10,.600,4,5,.800,2,2,1.000,0,3,3,3,0,0,2,2,18,+14
Evan Turner\turneev01,26:01,1,7,.143,0,0,,1,1,1.000,0,5,5,5,1,1,0,1,3,+9
Ed Davis\davised01,24:07,2,3,.667,0,0,,2,2,1.000,3,4,7,1,0,1,0,2,6,+21
Noah Vonleh\vonleno01,16:06,5,5,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,11,+14
Meyers Leonard\leoname01,9:15,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-7
Jake Layman\laymaja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Pat Connaughton\connapa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Shabazz Napier\napiesh01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,75,.520,13,19,.684,22,22,1.000,5,29,34,22,5,3,12,18,113,
