,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert\goberru01,40:57,4,7,.571,0,0,,4,4,1.000,4,10,14,2,0,2,3,3,12,+7
George Hill\hillge01,38:45,7,18,.389,1,6,.167,4,4,1.000,0,2,2,6,2,1,1,2,19,+2
Rodney Hood\hoodro01,37:39,9,17,.529,3,7,.429,5,5,1.000,0,2,2,1,2,1,0,3,26,+5
Boris Diaw\diawbo01,32:10,1,8,.125,0,3,.000,0,0,,1,2,3,0,0,0,1,5,2,+1
Joe Johnson\johnsjo02,30:30,12,16,.750,3,4,.750,2,2,1.000,0,4,4,3,1,0,2,0,29,-2
Trey Lyles\lylestr01,17:55,2,6,.333,1,2,.500,0,0,,0,2,2,2,0,0,3,0,5,-11
Shelvin Mack\macksh01,14:48,2,5,.400,0,1,.000,0,0,,0,1,1,4,2,0,0,1,4,-9
Joe Ingles\inglejo01,14:06,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,1,2,2,-9
Dante Exum\exumda01,8:20,2,4,.500,0,1,.000,1,1,1.000,1,1,2,0,0,0,0,2,5,-18
Jeff Withey\witheje01,4:51,0,0,,0,0,,0,0,,0,1,1,0,1,1,0,1,0,-11
Derrick Favors\favorde01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Joel Bolomboy\bolomjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Raul Neto\netora01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,82,.488,8,24,.333,16,16,1.000,6,25,31,19,9,5,11,19,104,
