,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Avery Bradley\bradlav01,34:03,.567,.567,.267,.000,13.8,14.1,13.9,22.2,1.4,0.0,16.7,21.9,115,118
Isaiah Thomas\thomais02,32:49,.696,.571,.500,.643,0.0,17.6,9.6,31.0,2.8,0.0,14.3,26.4,136,113
Jae Crowder\crowdja01,29:11,.700,.700,.533,.000,0.0,16.4,9.0,9.9,3.2,3.1,11.8,24.1,118,111
Al Horford\horfoal01,27:09,.688,.688,.500,.000,4.3,14.1,9.7,27.1,0.0,13.3,20.0,15.3,127,114
Amir Johnson\johnsam01,19:30,.621,.667,.000,.167,24.0,14.8,18.9,12.9,2.4,0.0,38.3,22.2,93,115
Terry Rozier\roziete01,27:51,.500,.500,.400,.000,0.0,10.3,5.7,11.6,3.3,0.0,16.7,8.9,104,115
Jaylen Brown\brownja02,19:27,.781,.750,.000,1.000,0.0,9.9,5.4,6.1,2.4,9.3,14.8,14.4,135,113
Jonas Jerebko\jerebjo01,18:49,.225,.125,.625,.250,0.0,5.1,2.8,16.8,9.9,0.0,10.1,21.7,68,102
Tyler Zeller\zellety01,16:26,.825,.857,.000,.286,14.2,11.7,12.8,28.8,0.0,11.0,11.3,22.4,152,116
Gerald Green\greenge01,14:45,.643,.643,.286,.000,7.9,26.0,17.9,18.6,0.0,0.0,12.5,22.5,121,117
James Young\youngja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Demetrius Jackson\jacksde01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Mickey\mickejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.629,.601,.360,.202,29.3,70.0,51.6,75.0,12.6,17.0,16.4,100.0,118.4,113.6
