,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Avery Bradley\bradlav01,34:03,7,15,.467,3,4,.750,0,0,,4,5,9,6,1,0,3,4,17,+3
Isaiah Thomas\thomais02,32:49,7,14,.500,2,7,.286,9,9,1.000,0,6,6,8,2,0,3,3,25,+15
Jae Crowder\crowdja01,29:11,9,15,.600,3,8,.375,0,0,,0,5,5,2,2,1,2,2,21,+2
Al Horford\horfoal01,27:09,5,8,.625,1,4,.250,0,0,,1,4,5,6,0,4,2,2,11,+12
Amir Johnson\johnsam01,19:30,4,6,.667,0,0,,0,1,.000,4,3,7,2,1,0,4,2,8,+5
Terry Rozier\roziete01,27:51,2,5,.400,1,2,.500,0,0,,0,3,3,3,2,0,1,2,5,+2
Jaylen Brown\brownja02,19:27,3,4,.750,0,0,,3,4,.750,0,2,2,1,1,2,1,1,9,0
Jonas Jerebko\jerebjo01,18:49,1,8,.125,0,5,.000,2,2,1.000,0,1,1,3,4,0,1,1,4,+3
Tyler Zeller\zellety01,16:26,6,7,.857,0,0,,1,2,.500,2,2,4,3,0,2,1,2,13,-8
Gerald Green\greenge01,14:45,4,7,.571,1,2,.500,0,0,,1,4,5,2,0,0,1,1,9,-9
Jordan Mickey\mickejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Demetrius Jackson\jacksde01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Young\youngja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,89,.539,11,32,.344,15,18,.833,12,35,47,36,13,9,19,20,122,
