,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Jeremy Lin\linje01,27:34,.556,.500,.357,.357,3.5,8.5,5.7,16.0,0.0,3.1,11.0,26.0,114,122
Trevor Booker\booketr01,24:23,.800,.800,.200,.000,3.9,28.8,15.1,28.0,5.7,0.0,16.7,9.7,154,107
Rondae Hollis-Jefferson\holliro01,23:35,.525,.333,.333,1.333,0.0,9.9,4.5,0.0,2.0,0.0,17.4,9.6,95,119
Bojan Bogdanovic\bogdabo02,23:04,.618,.618,.471,.000,8.3,15.2,11.4,0.0,2.0,0.0,10.5,32.5,112,118
Brook Lopez\lopezbr01,21:12,.400,.214,.286,.571,9.1,16.6,12.4,0.0,0.0,0.0,18.6,20.0,84,122
Justin Hamilton\hamilju01,25:20,.713,.708,.500,.250,22.7,18.5,20.8,12.7,0.0,0.0,7.0,22.3,150,122
Joe Harris\harrijo01,25:15,.533,.533,.600,.000,0.0,18.5,8.4,18.1,3.7,6.7,16.7,28.1,99,109
Sean Kilpatrick\kilpase01,22:14,.468,.423,.462,.154,4.3,15.8,9.5,13.4,0.0,0.0,12.6,28.1,97,122
Luis Scola\scolalu01,21:38,.450,.438,.625,.250,0.0,5.4,2.4,18.3,0.0,0.0,18.4,19.8,90,125
Greivis Vasquez\vasqugr01,18:14,.000,.000,1.000,.000,0.0,0.0,0.0,18.4,2.6,0.0,0.0,2.2,122,120
Isaiah Whitehead\whiteis01,3:52,,,,,0.0,30.3,13.6,28.9,0.0,0.0,,0.0,235,119
Chris McCullough\mcculch01,3:39,.500,.500,.000,.000,52.6,0.0,28.9,0.0,0.0,0.0,0.0,21.6,139,126
Anthony Bennett\bennean01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.553,.521,.454,.206,30.0,70.7,48.4,51.2,7.8,5.3,13.1,100.0,113.6,118.4
