,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Giannis Antetokounmpo\antetgi01,38:44,.656,.643,.095,.286,2.5,21.1,11.5,27.1,1.3,1.9,4.1,28.1,130,108
Jabari Parker\parkeja01,29:50,.604,.500,.111,.444,6.4,13.7,10.0,14.8,0.0,0.0,21.8,20.3,105,115
Matthew Dellavedova\dellama01,29:07,.550,.550,.300,.000,0.0,10.5,5.1,16.1,0.0,0.0,16.7,18.2,94,115
Mirza Teletovic\teletmi01,27:29,.250,.250,.417,.000,0.0,7.4,3.6,5.2,0.0,0.0,7.7,20.9,51,116
Miles Plumlee\plumlmi01,8:17,.000,.000,.000,.000,0.0,12.3,6.0,14.9,6.0,8.8,0.0,10.7,24,95
Greg Monroe\monrogr01,29:20,.461,.385,.000,.385,16.4,17.4,16.9,15.9,1.7,7.4,6.2,24.4,107,104
Malcolm Brogdon\brogdma01,21:25,.405,.333,.333,.222,0.0,28.6,13.9,34.7,0.0,0.0,0.0,20.4,101,110
Michael Beasley\beaslmi01,19:19,.170,.200,.000,.400,5.0,5.3,5.1,6.8,2.6,0.0,0.0,13.4,53,111
Jason Terry\terryja01,18:20,.563,.500,.250,.250,0.0,11.1,5.4,7.8,0.0,0.0,0.0,10.7,121,115
John Henson\hensojo01,10:23,.500,.500,.000,.000,9.2,29.5,19.1,0.0,0.0,0.0,0.0,17.0,108,110
Rashad Vaughn\vaughra01,7:46,.333,.333,.333,.000,0.0,13.1,6.4,0.0,0.0,0.0,0.0,17.0,69,114
Thon Maker\makerth01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Steve Novak\novakst01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.476,.440,.174,.217,20.0,76.6,47.4,59.0,4.1,7.6,7.4,100.0,99.5,110.9
