,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Deron Williams\willide01,40:00,.694,.694,.444,.000,2.5,5.6,3.9,29.2,0.0,1.8,25.0,25.1,108,119
Wesley Matthews\matthwe02,39:37,.349,.250,.625,.375,0.0,14.2,6.6,9.8,3.5,0.0,5.1,20.7,79,111
Dirk Nowitzki\nowitdi01,38:24,.553,.526,.474,.105,0.0,23.5,10.9,8.1,2.4,3.7,9.1,23.8,102,109
Harrison Barnes\barneha02,34:41,.679,.679,.429,.000,8.5,19.5,13.6,0.0,0.0,0.0,12.5,19.3,117,118
Andrew Bogut\bogutan01,19:40,.510,.600,.000,.400,10.0,22.9,16.0,21.9,0.0,3.6,14.5,14.6,112,114
J.J. Barea\bareajo01,39:07,.560,.471,.412,.353,0.0,5.8,2.7,22.9,0.0,1.8,13.3,24.2,109,119
Justin Anderson\anderju01,19:19,.389,.389,.667,.000,5.1,23.4,13.6,14.9,0.0,3.7,0.0,19.5,96,114
Dwight Powell\poweldw01,16:29,.000,.000,.000,1.000,17.9,27.4,22.3,7.1,0.0,4.3,0.0,7.3,77,113
Seth Curry\curryse01,15:45,.875,.875,.500,.000,0.0,21.5,10.0,9.6,8.8,4.5,0.0,10.6,173,94
Quincy Acy\acyqu01,0:56,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118
Nicolas Brussino\brussni01,0:35,,,,,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,240,121
Dorian Finney-Smith\finnedo01,0:27,,,,,0.0,100.0,100.0,0.0,0.0,0.0,,0.0,0,84
Salah Mejri\mejrisa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.541,.519,.462,.173,18.5,83.0,48.5,57.8,7.0,10.8,11.8,100.0,105.8,113.7
