,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deron Williams\willide01,40:00,10,18,.556,5,8,.625,0,0,,1,2,3,7,0,1,6,4,25,-9
Wesley Matthews\matthwe02,39:37,3,16,.188,2,10,.200,5,6,.833,0,5,5,3,3,0,1,4,13,-18
Dirk Nowitzki\nowitdi01,38:24,8,19,.421,4,9,.444,2,2,1.000,0,8,8,2,2,2,2,1,22,-1
Harrison Barnes\barneha02,34:41,8,14,.571,3,6,.500,0,0,,3,6,9,0,0,0,2,3,19,-5
Andrew Bogut\bogutan01,19:40,3,5,.600,0,0,,0,2,.000,2,4,6,3,0,1,1,3,6,-19
J.J. Barea\bareajo01,39:07,7,17,.412,2,7,.286,6,6,1.000,0,2,2,6,0,1,3,1,22,+2
Justin Anderson\anderju01,19:19,3,9,.333,1,6,.167,0,0,,1,4,5,2,0,1,0,2,7,+2
Dwight Powell\poweldw01,16:29,0,2,.000,0,0,,0,2,.000,3,4,7,1,0,1,0,2,0,+1
Seth Curry\curryse01,15:45,3,4,.750,1,2,.500,0,0,,0,3,3,1,3,1,0,6,7,+8
Quincy Acy\acyqu01,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Nicolas Brussino\brussni01,0:35,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
Dorian Finney-Smith\finnedo01,0:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Salah Mejri\mejrisa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,45,104,.433,18,48,.375,13,18,.722,10,39,49,26,8,8,15,27,121,
