,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Danilo Gallinari\gallida01,37:43,5,11,.455,3,6,.500,2,4,.500,0,3,3,2,3,1,1,2,15,+3
Will Barton\bartowi01,34:46,7,12,.583,2,3,.667,6,6,1.000,2,3,5,2,0,0,2,2,22,-3
Emmanuel Mudiay\mudiaem01,28:06,2,8,.250,0,1,.000,7,8,.875,0,7,7,3,1,0,6,5,11,-1
Jusuf Nurkic\nurkiju01,26:01,9,13,.692,0,0,,5,6,.833,2,7,9,3,0,1,1,3,23,+2
Nikola Jokic\jokicni01,21:08,2,5,.400,1,2,.500,0,0,,1,6,7,2,0,0,4,4,5,+5
Wilson Chandler\chandwi01,30:13,5,15,.333,1,6,.167,1,1,1.000,0,7,7,1,0,0,2,3,12,+5
Kenneth Faried\farieke01,28:16,3,9,.333,0,1,.000,3,6,.500,6,8,14,1,2,2,3,1,9,+2
Jameer Nelson\nelsoja01,19:54,4,8,.500,1,4,.250,0,0,,0,2,2,3,1,0,4,2,9,+6
Jamal Murray\murraja01,13:15,0,2,.000,0,1,.000,1,2,.500,0,4,4,1,0,0,1,0,1,+8
Juan Hernangomez\hernaju01,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Malik Beasley\beaslma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarnell Stokes\stokeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mike Miller\millemi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,83,.446,8,24,.333,25,33,.758,11,47,58,18,7,4,24,22,107,
