,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kentavious Caldwell-Pope\caldwke01,38:49,.222,.222,.333,.000,0.0,0.0,0.0,11.4,2.6,0.0,10.0,11.6,55,117
Tobias Harris\harrito02,36:16,.724,.654,.154,.385,0.0,14.4,7.3,5.4,1.4,0.0,24.8,25.1,105,115
Ish Smith\smithis01,33:15,.300,.300,.400,.000,0.0,3.1,1.6,32.9,1.5,0.0,0.0,13.5,87,119
Marcus Morris\morrima03,31:45,.487,.471,.471,.059,13.4,16.4,15.0,18.6,1.6,0.0,10.3,27.5,100,114
Andre Drummond\drumman01,24:09,.587,.636,.000,.545,4.4,21.6,13.1,0.0,2.1,0.0,22.7,32.9,86,111
Jon Leuer\leuerjo01,22:34,.507,.438,.250,.250,4.7,37.0,21.0,0.0,2.2,0.0,10.1,19.7,97,106
Aron Baynes\baynear01,15:22,.820,.750,.000,.500,6.9,13.6,10.3,0.0,0.0,0.0,0.0,14.3,170,118
Beno Udrih\udrihbe01,14:45,.370,.200,.200,.800,0.0,7.1,3.6,20.5,0.0,0.0,0.0,20.6,91,120
Stanley Johnson\johnsst04,13:42,.250,.250,.250,.000,0.0,22.8,11.6,11.1,0.0,0.0,0.0,13.1,63,115
Boban Marjanovic\marjabo01,5:03,.000,.000,.000,.000,0.0,20.7,10.4,0.0,10.0,0.0,0.0,8.9,0,94
Henry Ellenson\ellenhe01,2:10,.000,.000,.000,.000,49.2,48.2,48.7,0.0,0.0,0.0,0.0,20.8,58,107
Michael Gbinije\gbinimi01,2:10,.532,.000,1.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,121,123
Darrun Hilliard\hillida01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.486,.440,.262,.262,17.8,69.6,44.0,48.6,8.4,0.0,12.2,100.0,95.6,114.5
