,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kyle Lowry\lowryky01,37:46,.349,.269,.385,.231,2.8,11.3,7.0,27.3,1.3,0.0,12.3,18.9,92,98
Jonas Valanciunas\valanjo01,35:13,.756,.667,.000,.933,17.8,15.1,16.5,5.0,0.0,0.0,4.5,27.5,159,99
DeMar DeRozan\derozde01,34:28,.675,.630,.074,.222,3.0,9.3,6.1,8.0,1.5,0.0,16.8,45.2,114,98
DeMarre Carroll\carrode01,29:26,.410,.375,.750,.500,0.0,25.4,12.5,4.3,1.7,0.0,0.0,14.5,98,93
Pascal Siakam\siakapa01,21:44,1.000,1.000,.000,.000,9.6,34.4,21.8,0.0,2.3,0.0,0.0,4.0,203,90
Patrick Patterson\pattepa01,26:16,.255,.200,.400,.400,0.0,16.2,8.0,4.7,1.9,0.0,0.0,9.8,69,95
Cory Joseph\josepco01,21:36,.500,.500,.000,.000,9.7,9.9,9.8,12.9,2.3,0.0,14.3,14.2,110,96
Terrence Ross\rosste01,18:34,.500,.500,.250,.000,0.0,23.0,11.4,21.6,5.4,0.0,20.0,11.8,101,86
Jakob Poeltl\poeltja01,12:47,.250,.250,.000,.000,16.3,0.0,8.3,0.0,0.0,0.0,0.0,13.7,87,102
Norman Powell\powelno01,2:10,.000,.000,1.000,.000,0.0,49.2,24.3,0.0,0.0,0.0,0.0,40.4,0,92
Fred VanVleet\vanvlfr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lucas Nogueira\noguelu01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Bruno Caboclo\cabocbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.552,.494,.209,.337,30.4,82.2,56.0,41.5,8.4,0.0,10.0,100.0,114.5,95.6
