,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
James Harden\hardeja01,37:11,.653,.500,.368,.842,10.2,12.9,11.6,67.8,1.3,0.0,21.2,38.1,127,123
Eric Gordon\gordoer01,34:27,.567,.533,.533,.267,0.0,17.4,8.9,0.0,1.4,0.0,5.6,22.1,109,122
Ryan Anderson\anderry01,34:21,.467,.467,.467,.000,3.7,21.0,12.5,3.9,2.8,0.0,0.0,18.7,104,118
Trevor Ariza\arizatr01,32:51,.313,.313,.500,.000,0.0,21.9,11.2,7.1,1.5,0.0,0.0,10.4,82,121
Clint Capela\capelca01,25:40,.699,.727,.000,.091,14.8,28.1,21.6,0.0,0.0,3.5,8.0,20.8,128,120
Nene Hilario\hilarne01,22:17,.518,.600,.000,.800,11.3,5.4,8.3,17.2,4.3,0.0,12.9,14.9,112,118
Corey Brewer\breweco01,15:16,.410,.500,.250,.500,0.0,0.0,0.0,16.7,0.0,0.0,0.0,13.7,99,129
Sam Dekker\dekkesa01,13:36,.667,.667,.333,.000,0.0,8.8,4.5,0.0,3.6,0.0,0.0,9.5,132,119
K.J. McDaniels\mcdankj01,12:15,1.100,1.100,.200,.000,10.3,0.0,5.0,0.0,0.0,0.0,0.0,17.5,219,129
Tyler Ennis\ennisty01,12:07,.000,.000,.000,.000,0.0,0.0,0.0,36.0,8.0,0.0,80.0,17.7,39,111
Montrezl Harrell\harremo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kyle Wiltjer\wiltjky01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bobby Brown\brownbo02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.582,.552,.337,.314,26.3,72.5,50.0,65.9,10.1,1.9,12.5,100.0,114.7,120.7
