,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
,,,,,,,,,,,,,,,,,,,,
James Harden\hardeja01,37:11,9,19,.474,1,7,.143,15,16,.938,3,4,7,17,1,0,7,5,34,+10
Eric Gordon\gordoer01,34:27,7,15,.467,2,8,.250,3,4,.750,0,5,5,0,1,0,1,1,19,-14
Ryan Anderson\anderry01,34:21,6,15,.400,2,7,.286,0,0,,1,6,7,1,2,0,0,1,14,-3
Trevor Ariza\arizatr01,32:51,2,8,.250,1,4,.250,0,0,,0,6,6,2,1,0,0,2,5,-4
Clint Capela\capelca01,25:40,8,11,.727,0,0,,0,1,.000,3,6,9,0,0,1,1,2,16,+8
Nene Hilario\hilarne01,22:17,3,5,.600,0,0,,1,4,.250,2,1,3,3,2,0,1,3,7,-14
Corey Brewer\breweco01,15:16,2,4,.500,0,1,.000,0,2,.000,0,0,0,2,0,0,0,3,4,-1
Sam Dekker\dekkesa01,13:36,2,3,.667,0,1,.000,0,0,,0,1,1,0,1,0,0,2,4,-4
K.J. McDaniels\mcdankj01,12:15,5,5,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,11,+1
Tyler Ennis\ennisty01,12:07,0,1,.000,0,0,,0,0,,0,0,0,4,2,0,4,3,0,-9
Kyle Wiltjer\wiltjky01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Montrezl Harrell\harremo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bobby Brown\brownbo02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,86,.512,7,29,.241,19,27,.704,10,29,39,29,10,1,14,23,114,
