,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle\randlju01,29:11,9,11,.818,0,1,.000,0,1,.000,0,7,7,6,0,1,2,4,18,-8
D'Angelo Russell\russeda01,29:04,7,16,.438,4,10,.400,2,3,.667,0,1,1,3,1,0,3,2,20,-5
Luol Deng\denglu01,28:29,3,9,.333,1,4,.250,0,0,,2,3,5,1,1,0,1,0,7,+1
Nick Young\youngni01,26:34,3,12,.250,2,9,.222,0,0,,0,3,3,1,0,1,0,5,8,-6
Timofey Mozgov\mozgoti01,22:06,6,10,.600,0,0,,0,0,,4,4,8,2,0,0,2,2,12,+3
Jordan Clarkson\clarkjo01,24:35,8,12,.667,2,3,.667,7,7,1.000,1,2,3,1,3,0,4,3,25,+6
Brandon Ingram\ingrabr01,23:40,4,6,.667,1,2,.500,0,0,,0,3,3,0,0,0,1,0,9,+10
Larry Nance\nancela02,23:20,2,5,.400,0,1,.000,1,2,.500,3,2,5,2,1,1,0,1,5,+7
Lou Williams\willilo02,14:26,2,5,.400,2,4,.500,6,7,.857,0,0,0,2,3,0,1,0,12,+17
Tarik Black\blackta01,11:32,1,2,.500,0,0,,2,2,1.000,1,3,4,0,1,0,1,4,4,+1
Marcelo Huertas\huertma01,4:37,0,1,.000,0,1,.000,0,0,,0,0,0,3,0,1,0,0,0,+5
Metta World Peace\artesro01,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1
Thomas Robinson\robinth01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,89,.506,12,35,.343,18,22,.818,11,28,39,21,10,4,15,24,120,
