,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Justise Winslow\winslju01,33:57,.486,.467,.133,.067,9.2,13.9,11.7,15.2,1.5,4.0,11.5,21.6,107,100
Dion Waiters\waitedi01,33:31,.324,.308,.077,.154,3.1,14.0,8.9,13.9,0.0,0.0,6.7,18.7,85,106
Hassan Whiteside\whiteha01,30:59,.507,.563,.000,.250,13.5,30.4,22.4,4.7,0.0,8.7,5.3,25.5,107,92
Goran Dragic\dragigo01,28:37,.504,.467,.067,.133,10.9,9.9,10.4,28.5,0.0,0.0,15.9,27.8,107,108
Luke Babbitt\babbilu01,18:48,.400,.400,.600,.000,0.0,5.0,2.6,13.0,0.0,0.0,0.0,22.4,102,110
Tyler Johnson\johnsty01,28:18,.656,.636,.091,.091,3.7,16.6,10.5,14.5,3.6,0.0,8.0,18.5,132,97
James Johnson\johnsja01,25:12,.652,.625,.500,.125,0.0,7.5,3.9,29.0,0.0,0.0,10.6,15.8,138,109
Rodney McGruder\mcgruro01,23:37,.577,.333,.333,1.667,4.4,8.0,6.3,0.0,4.3,0.0,16.1,11.0,113,99
Willie Reed\reedwi02,17:02,.833,.833,.000,.000,18.4,16.6,17.4,8.6,0.0,4.0,0.0,14.8,176,102
Derrick Williams\willide02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh McRoberts\mcrobjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Richardson\richajo01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Udonis Haslem\hasleud01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.519,.505,.165,.165,34.8,70.6,53.6,57.4,5.3,9.9,8.8,100.0,114.5,101.8
