,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Evan Fournier\fournev01,39:23,7,19,.368,2,6,.333,4,7,.571,1,3,4,4,2,0,1,3,20,-3
Elfrid Payton\paytoel01,37:30,4,12,.333,0,2,.000,8,8,1.000,2,2,4,5,0,2,4,1,16,-4
Serge Ibaka\ibakase01,36:16,6,17,.353,2,4,.500,0,0,,2,6,8,0,0,1,0,3,14,-16
Nikola Vucevic\vucevni01,35:49,7,14,.500,0,0,,3,4,.750,5,9,14,3,2,0,1,3,17,0
Aaron Gordon\gordoaa01,35:06,5,12,.417,2,3,.667,0,0,,2,6,8,4,1,1,3,1,12,-10
Jeff Green\greenje02,25:14,2,7,.286,0,2,.000,3,4,.750,1,2,3,1,0,0,1,1,7,-8
D.J. Augustin\augusdj01,16:32,2,3,.667,0,1,.000,3,3,1.000,0,1,1,1,0,0,1,2,7,-12
Mario Hezonja\hezonma01,14:10,1,5,.200,0,0,,1,2,.500,2,1,3,2,0,0,0,1,3,-7
C.J. Watson\watsocj01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bismack Biyombo\biyombi01,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Damjan Rudez\rudezda01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
C.J. Wilcox\wilcocj01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Arinze Onuaku\onuakar01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,34,89,.382,6,18,.333,22,28,.786,15,30,45,20,5,4,11,15,96,
