,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Karl-Anthony Towns\townska01,36:29,9,20,.450,2,5,.400,1,1,1.000,2,2,4,5,1,1,2,3,21,-13
Andrew Wiggins\wiggian01,34:29,7,14,.500,1,1,1.000,10,14,.714,4,3,7,0,0,1,2,1,25,-5
Gorgui Dieng\dienggo01,34:01,5,10,.500,0,1,.000,2,2,1.000,5,9,14,2,2,1,0,3,12,0
Zach LaVine\lavinza01,33:50,6,14,.429,3,6,.500,4,5,.800,0,5,5,3,1,0,2,3,19,-4
Ricky Rubio\rubiori01,33:27,1,5,.200,0,1,.000,2,5,.400,1,3,4,8,0,0,2,4,4,-1
Nemanja Bjelica\bjeline01,15:23,1,4,.250,0,1,.000,1,2,.500,0,1,1,0,0,1,0,3,3,0
Kris Dunn\dunnkr01,15:13,4,6,.667,0,1,.000,0,0,,1,3,4,1,1,0,1,3,8,-6
Brandon Rush\rushbr01,13:39,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,1,0,+3
Shabazz Muhammad\muhamsh01,13:31,1,6,.167,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,+1
Cole Aldrich\aldrico01,9:58,2,4,.500,0,0,,0,0,,1,1,2,0,1,1,0,2,4,+5
Tyus Jones\jonesty01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Hill\hilljo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Adreian Payne\paynead01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,86,.419,6,18,.333,20,29,.690,15,30,45,20,6,5,10,23,98,
