,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Robert Covington\covinro01,31:56,3,6,.500,2,4,.500,2,2,1.000,1,4,5,2,2,1,0,1,10,+2
Sergio Rodriguez\rodrise01,31:51,5,11,.455,2,6,.333,0,0,,0,4,4,9,0,0,0,1,12,+8
Dario Saric\saricda01,27:27,2,12,.167,0,4,.000,1,2,.500,1,6,7,2,0,0,2,3,5,-4
Gerald Henderson\hendege02,24:47,3,6,.500,2,3,.667,1,2,.500,0,2,2,0,0,0,0,2,9,-7
Joel Embiid\embiijo01,22:25,6,16,.375,1,3,.333,7,8,.875,0,7,7,0,0,2,4,4,20,-6
Nik Stauskas\stausni01,22:32,5,6,.833,0,1,.000,3,3,1.000,0,4,4,1,0,0,0,0,13,-1
Jerami Grant\grantje01,21:51,4,10,.400,0,1,.000,2,4,.500,0,3,3,0,0,2,2,2,10,+1
T.J. McConnell\mccontj01,16:09,0,0,,0,0,,0,0,,0,2,2,7,2,0,1,3,0,-14
Jahlil Okafor\okafoja01,15:42,4,10,.400,0,0,,0,0,,1,2,3,0,0,1,3,2,8,0
Hollis Thompson\thompho01,13:28,2,5,.400,0,2,.000,0,2,.000,1,2,3,0,1,1,0,1,4,-10
Richaun Holmes\holmeri01,11:52,2,2,1.000,0,0,,2,2,1.000,1,2,3,0,0,3,1,3,6,+1
Timothe Luwawu-Cabarrot\luwawti01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,84,.429,7,24,.292,18,25,.720,5,38,43,21,5,10,13,22,97,
