,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
T.J. Warren\warretj01,30:24,.444,.357,.143,.286,7.7,11.6,9.6,5.6,3.3,0.0,0.0,23.3,105,114
Eric Bledsoe\bledser01,29:27,.627,.545,.455,.364,0.0,23.9,11.9,29.3,1.7,0.0,23.9,25.6,105,114
Jared Dudley\dudleja01,25:48,.410,.500,.000,.500,0.0,9.1,4.5,5.8,0.0,2.9,0.0,8.5,90,119
Devin Booker\bookede01,24:33,.634,.667,.250,.417,0.0,9.5,4.8,28.8,0.0,0.0,22.0,33.3,98,121
Tyson Chandler\chandty01,22:56,.680,.800,.000,.400,15.3,35.7,25.5,0.0,0.0,0.0,14.5,13.5,119,115
Brandon Knight\knighbr03,25:49,.329,.125,.375,.750,0.0,4.5,2.3,27.2,0.0,0.0,15.8,22.0,79,122
Alex Len\lenal01,24:09,.581,.500,.000,.333,9.7,24.2,17.0,13.2,2.1,0.0,12.7,14.7,120,113
Marquese Chriss\chrisma01,22:12,.444,.429,.000,.286,10.5,10.5,10.5,14.7,0.0,3.3,33.7,24.0,72,118
Tyler Ulis\ulisty01,13:42,.333,.333,.000,.000,0.0,8.5,4.3,10.8,7.2,5.4,25.0,13.1,62,102
Dragan Bender\bendedr01,11:57,1.000,1.000,.600,.000,9.8,9.8,9.8,0.0,0.0,0.0,0.0,18.8,186,121
P.J. Tucker\tuckepj01,5:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.9,0,123
Leandro Barbosa\barbole01,3:24,.000,.000,.000,.000,0.0,34.4,17.2,0.0,0.0,0.0,0.0,26.4,0,114
Alan Williams\willial03,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.529,.494,.208,.351,24.4,75.6,50.0,55.6,6.2,4.6,16.8,100.0,97.1,116.8
