,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
T.J. Warren\warretj01,30:24,5,14,.357,0,2,.000,4,4,1.000,2,3,5,1,2,0,0,5,14,-15
Eric Bledsoe\bledser01,29:27,5,11,.455,2,5,.400,4,4,1.000,0,6,6,5,1,0,4,3,16,-9
Jared Dudley\dudleja01,25:48,2,4,.500,0,0,,0,2,.000,0,2,2,1,0,1,0,1,4,-9
Devin Booker\bookede01,24:33,8,12,.667,0,3,.000,2,5,.400,0,2,2,3,0,0,4,5,18,-5
Tyson Chandler\chandty01,22:56,4,5,.800,0,0,,0,2,.000,3,7,10,0,0,0,1,4,8,-2
Brandon Knight\knighbr03,25:49,1,8,.125,0,3,.000,5,6,.833,0,1,1,5,0,0,2,1,7,-19
Alex Len\lenal01,24:09,3,6,.500,0,0,,2,2,1.000,2,5,7,2,1,0,1,4,8,-13
Marquese Chriss\chrisma01,22:12,3,7,.429,0,0,,1,2,.500,2,2,4,2,0,1,4,3,7,-10
Tyler Ulis\ulisty01,13:42,1,3,.333,0,0,,0,0,,0,1,1,1,2,1,1,1,2,+6
Dragan Bender\bendedr01,11:57,4,5,.800,2,3,.667,0,0,,1,1,2,0,0,0,0,0,10,+10
P.J. Tucker\tuckepj01,5:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-14
Leandro Barbosa\barbole01,3:24,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-15
Alan Williams\willial03,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,77,.468,4,16,.250,18,27,.667,10,31,41,20,6,3,18,29,94,
