,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Avery Bradley\bradlav01,40:36,.581,.542,.250,.333,3.0,11.6,7.8,19.1,0.0,1.8,12.7,19.1,112,115
Jae Crowder\crowdja01,35:26,.854,.750,.333,.833,3.4,13.3,8.9,4.2,2.9,0.0,10.9,12.8,154,109
Isaiah Thomas\thomais02,34:47,.709,.767,.467,.400,0.0,8.1,4.5,22.8,2.9,0.0,22.1,32.0,105,112
Al Horford\horfoal01,30:03,.511,.444,.222,.444,0.0,21.9,12.3,25.3,0.0,2.4,8.5,19.3,108,109
Amir Johnson\johnsam01,15:47,.512,.500,.000,.500,0.0,6.0,3.3,9.5,0.0,4.5,0.0,15.2,107,117
Terry Rozier\roziete01,22:39,.571,.571,.714,.000,0.0,16.6,9.3,26.8,4.5,0.0,0.0,15.2,124,104
Jaylen Brown\brownja02,20:26,.571,.571,.143,.000,0.0,4.6,2.6,8.2,0.0,0.0,12.5,19.3,96,120
Tyler Zeller\zellety01,20:18,.318,.333,.000,.111,5.9,18.5,13.0,7.7,0.0,7.1,9.6,25.3,66,108
Gerald Green\greenge01,10:20,.250,.250,.500,.000,0.0,18.2,10.2,0.0,0.0,6.9,0.0,19.0,49,109
Jonas Jerebko\jerebjo01,9:38,.515,.500,.333,.667,0.0,9.8,5.5,0.0,0.0,0.0,0.0,19.8,99,117
Demetrius Jackson\jacksde01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Mickey\mickejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Young\youngja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.572,.553,.303,.316,7.5,64.7,39.6,57.9,6.4,9.0,11.3,100.0,105.1,111.5
