,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
C.J. McCollum\mccolcj01,38:01,.546,.458,.083,.500,0.0,9.4,5.3,7.7,3.8,0.0,17.0,19.7,97,110
Damian Lillard\lillada01,36:11,.535,.500,.208,.292,3.2,22.1,13.8,16.3,0.0,0.0,12.9,36.5,100,112
Maurice Harkless\harklma01,32:18,.724,.700,.200,.133,17.7,8.3,12.4,12.3,0.0,0.0,0.0,20.9,156,118
Mason Plumlee\plumlma01,30:30,.730,.778,.000,.667,7.5,17.5,13.1,22.5,0.0,7.6,14.7,19.0,133,110
Al-Farouq Aminu\aminual01,24:58,.073,.000,.833,.333,0.0,28.5,16.0,9.9,0.0,3.1,22.5,15.1,25,108
Allen Crabbe\crabbal01,31:35,.571,.429,.286,.571,0.0,2.8,1.6,17.7,0.0,0.0,0.0,11.8,134,120
Evan Turner\turneev01,23:13,.250,.250,.125,.000,4.9,19.1,12.9,5.9,0.0,0.0,20.0,18.3,53,114
Ed Davis\davised01,12:33,.000,.000,.000,.000,0.0,21.2,12.0,0.0,3.8,0.0,0.0,3.4,0,104
Noah Vonleh\vonleno01,9:47,.577,.333,.333,1.667,0.0,0.0,0.0,0.0,0.0,0.0,16.1,26.9,104,121
Shabazz Napier\napiesh01,0:55,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111
Meyers Leonard\leoname01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Pat Connaughton\connapa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jake Layman\laymaja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.535,.482,.212,.376,21.4,72.2,50.0,46.2,4.0,6.5,12.4,100.0,105.2,113.1
