,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
DeMarcus Cousins\couside01,37:13,.637,.523,.227,.727,10.5,39.0,25.8,17.1,1.4,0.0,9.4,40.6,120,107
Ty Lawson\lawsoty01,35:44,.444,.429,.286,.286,3.6,9.4,6.7,50.4,1.5,0.0,11.3,11.7,112,114
Arron Afflalo\afflaar01,35:36,.389,.389,.333,.000,0.0,12.5,6.7,5.6,1.5,0.0,0.0,11.9,80,113
Rudy Gay\gayru01,32:21,.556,.350,.300,1.200,0.0,24.2,13.0,12.6,3.3,0.0,6.1,23.7,114,106
Kosta Koufos\koufoko01,23:38,.571,.571,.000,.000,11.0,23.6,17.8,30.7,2.2,0.0,30.0,20.0,90,109
Matt Barnes\barnema02,26:55,.375,.375,.750,.000,0.0,0.0,0.0,6.8,2.0,0.0,33.3,10.5,52,115
Anthony Tolliver\tollian01,15:07,.347,.000,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,41.0,15.2,43,120
Garrett Temple\templga01,12:16,.000,.000,1.000,.000,0.0,0.0,0.0,41.9,0.0,0.0,0.0,7.7,63,120
Willie Cauley-Stein\caulewi01,10:47,.387,.333,.000,.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,21.4,61,120
Ben McLemore\mclembe01,10:23,.868,.750,.000,1.000,0.0,21.5,11.6,32.7,0.0,0.0,25.8,35.3,124,114
Malachi Richardson\richama01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omri Casspi\casspom01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Darren Collison\collida01,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Team Totals,240,.542,.443,.286,.543,16.2,79.1,50.0,78.6,7.7,0.0,14.7,100.0,103.2,112.0
