,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kawhi Leonard\leonaka01,34:55,.623,.548,.238,.333,0.0,11.1,5.2,32.9,7.5,0.0,4.0,34.5,127,95
LaMarcus Aldridge\aldrila01,31:40,.484,.385,.077,.615,7.1,12.3,9.5,5.3,0.0,0.0,5.7,26.6,104,111
Kyle Anderson\anderky01,26:41,.500,.500,.000,.000,0.0,38.9,18.0,15.8,2.0,3.6,33.3,5.4,95,99
Tony Parker\parketo01,25:14,.258,.000,.167,.667,0.0,0.0,0.0,10.6,2.1,0.0,0.0,14.8,72,109
Pau Gasol\gasolpa01,20:33,.500,.500,.143,.000,0.0,37.9,17.5,8.1,2.6,4.7,30.0,23.4,68,97
Dewayne Dedmon\dedmode01,24:13,.872,.833,.000,.333,18.4,16.1,17.3,0.0,0.0,15.9,0.0,13.7,185,98
Patty Mills\millspa02,22:46,.429,.429,.571,.000,0.0,5.7,2.6,6.6,0.0,0.0,0.0,14.8,92,113
Manu Ginobili\ginobma01,19:22,.444,.444,.667,.000,0.0,20.1,9.3,43.4,0.0,5.0,10.0,24.8,98,106
Jonathon Simmons\simmojo02,18:16,.665,.500,.000,2.000,6.1,7.1,6.6,23.6,0.0,0.0,34.7,15.2,109,112
David Lee\leeda02,16:20,.872,.833,.000,.333,13.7,23.8,18.4,27.6,6.5,5.9,0.0,20.2,184,91
Davis Bertans\bertada01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nicolas Laprovittola\laproni01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bryn Forbes\forbebr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.561,.494,.228,.342,20.9,83.8,50.0,63.9,11.0,16.0,9.0,100.0,112.0,103.2
