,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marvin Williams\willima02,33:32,3,6,.500,1,2,.500,0,0,,0,11,11,1,2,1,1,1,7,+2
Nicolas Batum\batumni01,31:27,4,14,.286,2,7,.286,2,2,1.000,2,4,6,4,2,0,3,1,12,-1
Kemba Walker\walkeke02,31:06,7,18,.389,2,5,.400,8,9,.889,0,1,1,4,2,0,0,1,24,-3
Michael Kidd-Gilchrist\kiddgmi01,28:22,1,5,.200,0,0,,1,2,.500,2,3,5,1,1,4,1,3,3,+2
Roy Hibbert\hibbero01,4:29,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-3
Marco Belinelli\belinma01,28:23,4,9,.444,2,3,.667,2,2,1.000,0,1,1,2,1,0,0,3,12,+6
Cody Zeller\zelleco01,23:13,4,8,.500,0,0,,2,3,.667,2,1,3,1,2,1,1,2,10,+5
Jeremy Lamb\lambje01,22:22,7,12,.583,0,2,.000,2,2,1.000,2,6,8,1,0,1,0,4,16,+9
Spencer Hawes\hawessp01,20:12,4,10,.400,0,1,.000,2,2,1.000,4,5,9,2,0,2,2,2,10,+4
Ramon Sessions\sessira01,16:54,1,9,.111,0,2,.000,1,2,.500,1,3,4,4,0,0,0,2,3,+9
Brian Roberts\roberbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Treveon Graham\grahatr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Christian Wood\woodch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,92,.380,7,22,.318,20,24,.833,13,36,49,20,10,9,8,20,97,
