,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dion Waiters\waitedi01,34:06,5,16,.313,3,7,.429,0,2,.000,1,6,7,3,1,0,3,4,13,-3
Goran Dragic\dragigo01,33:50,4,12,.333,3,5,.600,3,3,1.000,1,3,4,9,1,0,4,3,14,+5
Justise Winslow\winslju01,32:02,4,14,.286,1,6,.167,1,2,.500,0,6,6,5,0,0,4,2,10,-3
Hassan Whiteside\whiteha01,26:49,8,11,.727,0,0,,4,7,.571,5,10,15,0,0,2,4,4,20,-1
Luke Babbitt\babbilu01,19:48,2,5,.400,2,4,.500,0,0,,0,3,3,0,0,0,0,1,6,+7
Tyler Johnson\johnsty01,28:48,4,10,.400,2,4,.500,2,2,1.000,1,5,6,0,0,0,1,3,12,-17
James Johnson\johnsja01,23:17,0,6,.000,0,3,.000,0,0,,0,6,6,1,0,1,2,2,0,-11
Willie Reed\reedwi02,21:05,2,3,.667,0,0,,3,4,.750,2,1,3,0,0,0,1,2,7,-5
Rodney McGruder\mcgruro01,20:15,3,9,.333,3,5,.600,0,0,,1,1,2,1,0,1,0,2,9,-2
Josh McRoberts\mcrobjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Williams\willide02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Udonis Haslem\hasleud01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Richardson\richajo01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,32,86,.372,14,34,.412,13,20,.650,11,41,52,19,2,4,19,23,91,
