,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LeBron James\jamesle01,38:40,.550,.500,.375,.438,5.9,15.2,10.9,35.7,0.0,0.0,20.8,28.3,103,100
Kyrie Irving\irvinky01,38:26,.555,.543,.391,.043,3.0,12.7,8.2,36.5,0.0,0.0,23.0,36.0,92,102
Tristan Thompson\thomptr01,36:28,.935,1.000,.000,.400,9.4,18.8,14.5,5.0,0.0,3.6,0.0,7.3,195,96
Kevin Love\loveke01,35:39,.537,.467,.333,.267,6.4,22.0,14.8,10.8,1.4,1.8,0.0,21.4,121,92
J.R. Smith\smithjr01,33:48,.500,.500,.875,.000,0.0,0.0,0.0,0.0,4.5,0.0,11.1,12.1,87,99
Iman Shumpert\shumpim01,20:12,.521,.375,.250,1.000,0.0,19.4,10.4,15.5,7.6,0.0,25.8,17.4,90,82
Richard Jefferson\jefferi01,20:02,.174,.000,.750,1.000,5.7,4.9,5.3,14.5,2.6,0.0,0.0,13.1,68,100
Mike Dunleavy\dunlemi02,16:27,.250,.250,.250,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,16.6,33,108
DeAndre Liggins\liggide01,0:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108
Jordan McRae\mcraejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Andersen\anderch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Jones\jonesja02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kay Felder\feldeka01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.530,.494,.405,.278,21.4,63.3,44.0,60.6,8.5,4.1,16.1,100.0,100.1,96.9
