,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James\jamesle01,38:40,7,16,.438,2,6,.333,5,7,.714,2,6,8,7,0,0,5,2,21,0
Kyrie Irving\irvinky01,38:26,10,23,.435,5,9,.556,1,1,1.000,1,5,6,6,0,0,7,4,26,+8
Tristan Thompson\thomptr01,36:28,5,5,1.000,0,0,,1,2,.500,3,7,10,1,0,2,0,1,11,+4
Kevin Love\loveke01,35:39,6,15,.400,2,5,.400,4,4,1.000,2,8,10,2,1,1,0,2,18,+5
J.R. Smith\smithjr01,33:48,3,8,.375,2,7,.286,0,0,,0,0,0,0,3,0,1,0,8,+9
Iman Shumpert\shumpim01,20:12,1,4,.250,1,1,1.000,3,4,.750,0,4,4,2,3,0,2,2,6,-6
Richard Jefferson\jefferi01,20:02,0,4,.000,0,3,.000,2,4,.500,1,1,2,2,1,0,0,2,2,-2
Mike Dunleavy\dunlemi02,16:27,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,2,2,2,-3
DeAndre Liggins\liggide01,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Kay Felder\feldeka01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Jones\jonesja02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Andersen\anderch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan McRae\mcraejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,79,.418,12,32,.375,16,22,.727,9,31,40,20,8,3,17,15,94,
